nconst,character,start,end
nm7428203,Olive,77000,105000
nm6150071,Frenchie,105000,184000
nm7232332,Kimiko Miyashiro,127000,184000
nm6970024,NNC News Anchor,184000,217000
nm1102278,Homelander,185000,217000
nm2251731,Stormfront,193000,217000
nm1102278,Homelander,217000,288000
nm0000223,Madelyn Stillwell,241000,288000
nm0881631,Billy Butcher,288000,440000
nm0732309,Grace Mallory,300000,440000
nm0000223,Madelyn Stillwell,443000,589000
nm1102278,Homelander,443000,589000
nm0022306,Mother's Milk,590000,696000
nm0881631,Billy Butcher,590000,696000
nm3929195,Starlight,698000,829000
nm1102278,Homelander,705000,829000
nm4415642,Anika,829000,909000
nm1756121,Black Noir,833000,909000
nm3929195,Starlight,909000,1114000
nm4425051,Hughie Campbell,913000,1114000
nm0022306,Mother's Milk,1063000,1114000
nm1900772,A-Train,1114000,1231000
nm5973363,Shockwave,1120000,1231000
nm2281371,Ashley Barrett,1134000,1231000
nm1102278,Homelander,1147000,1231000
nm3929195,Starlight,1236000,1318000
nm4425051,Hughie Campbell,1236000,1318000
nm0022306,Mother's Milk,1239000,1318000
nm2068715,Cassandra,1318000,1346000
nm0881631,Billy Butcher,1348000,1361000
nm6150071,Frenchie,1362000,1468000
nm7343952,Cherie,1373000,1468000
nm0022306,Mother's Milk,1471000,1676000
nm3929195,Starlight,1471000,1676000
nm4425051,Hughie Campbell,1471000,1676000
nm1416900,Becca Butcher,1680000,1899000
nm0881631,Billy Butcher,1694000,1899000
nm0022306,Mother's Milk,1900000,2125000
nm3929195,Starlight,1900000,2125000
nm4425051,Hughie Campbell,1900000,2125000
nm6596476,Elizabeth,2125000,2151000
nm1416900,Becca Butcher,2151000,2429000
nm7805172,Ryan Butcher,2152000,2429000
nm0881631,Billy Butcher,2158000,2429000
nm0022306,Mother's Milk,2431000,2452000
nm3929195,Starlight,2433000,2452000
nm4425051,Hughie Campbell,2435000,2452000
nm1069800,Queen Maeve,2452000,2665000
nm1102278,Homelander,2452000,2665000
nm1172764,Self,2452000,2665000
nm2251731,Stormfront,2653000,2665000
nm2251731,Stormfront,2665000,2751000
nm7232332,Kimiko Miyashiro,2682000,2751000
nm6150071,Frenchie,2724000,2751000
nm0022306,Mother's Milk,2751000,3072000
nm3929195,Starlight,2754000,3072000
nm4425051,Hughie Campbell,2754000,3072000
nm0507097,Valerie,2765000,3072000
nm8672061,Myron,2961000,3072000
nm2251731,Stormfront,3063000,3072000
nm0022306,Mother's Milk,3072000,3130000
nm3929195,Starlight,3072000,3130000
nm4425051,Hughie Campbell,3072000,3130000
nm1102278,Homelander,3130000,3324000
nm2251731,Stormfront,3161000,3324000
nm0881631,Billy Butcher,3327000,3518000
nm1416900,Becca Butcher,3327000,3518000
nm4415642,Anika,3518000,3538000
nm1756121,Black Noir,3522000,3538000
nm0881631,Billy Butcher,3524000,3538000
nm3929195,Starlight,3538000,3635000
nm4425051,Hughie Campbell,3538000,3635000
nm8712537,Gianna,3635000,3738000
nm2003700,The Deep,3649000,3738000
nm0372961,Carol,3662000,3738000
nm1102278,Homelander,3738000,3970000
nm0000223,Madelyn Stillwell,3754000,3970000
