nconst,character,start,end
nm0010075,Soldier Boy,105000,122000
nm0022306,Mother's Milk,122000,151000
nm0010075,Soldier Boy,125000,151000
nm1047968,MM's Dad,133000,151000
nm12083304,Young Marvin,133000,151000
nm0244432,MM's Grandpa,136000,151000
nm0881631,Butcher,155000,165000
nm4425051,Hughie,165000,228000
nm0881631,Butcher,167000,228000
nm0249378,Cameron Coleman,229000,270000
nm1102278,Homelander,229000,270000
nm0002064,Stan Edgar,271000,341000
nm4707628,Victoria Neuman,273000,341000
nm11253362,Zoe Neuman,281000,341000
nm0881631,Butcher,343000,350000
nm6150071,Frenchie,343000,350000
nm0881631,Butcher,352000,363000
nm6150071,Frenchie,352000,363000
nm2316016,Little Nina,363000,504000
nm0881631,Butcher,365000,504000
nm6150071,Frenchie,366000,504000
nm1102278,Homelander,504000,514000
nm2003700,The Deep,504000,514000
nm2740432,Supersonic,504000,514000
nm3929195,Starlight,504000,514000
nm4425051,Hughie,515000,563000
nm3929195,Starlight,516000,563000
nm1102278,Homelander,564000,661000
nm3929195,Starlight,564000,661000
nm4425051,Hughie,564000,661000
nm1900772,A-Train,662000,706000
nm2281371,Ashley Barrett,662000,706000
nm2062703,Also Ashley,696000,706000
nm1900772,A-Train,707000,771000
nm11884404,AAW Leader,709000,771000
nm8346956,Makeup Artist,711000,771000
nm4425051,Hughie,772000,788000
nm4707628,Victoria Neuman,775000,788000
nm0022306,Mother's Milk,788000,805000
nm4425051,Hughie,788000,805000
nm6150071,Frenchie,793000,805000
nm7232332,Kimiko,793000,805000
nm6150071,Frenchie,805000,826000
nm7232332,Kimiko,805000,826000
nm0881631,Butcher,806000,826000
nm1069800,Queen Maeve,826000,831000
nm1069800,Queen Maeve,831000,932000
nm3929195,Starlight,832000,932000
nm0881631,Butcher,965000,985000
nm6150071,Frenchie,965000,985000
nm7232332,Kimiko,965000,985000
nm4425051,Hughie,967000,985000
nm1102278,Homelander,970000,985000
nm3929195,Starlight,970000,985000
nm0022306,Mother's Milk,976000,985000
nm0022306,Mother's Milk,985000,1066000
nm0881631,Butcher,985000,1066000
nm4425051,Hughie,985000,1066000
nm6150071,Frenchie,996000,1066000
nm7232332,Kimiko,1007000,1066000
nm2740432,Supersonic,1069000,1174000
nm3929195,Starlight,1070000,1174000
nm1069800,Queen Maeve,1174000,1278000
nm1102278,Homelander,1174000,1278000
nm1756121,Black Noir,1174000,1278000
nm1900772,A-Train,1174000,1278000
nm2003700,The Deep,1174000,1278000
nm2740432,Supersonic,1174000,1278000
nm3929195,Starlight,1174000,1278000
nm2281371,Ashley Barrett,1176000,1278000
nm2068715,Cassandra,1234000,1278000
nm1102278,Homelander,1278000,1325000
nm2281371,Ashley Barrett,1278000,1325000
nm1900772,A-Train,1325000,1393000
nm2003700,The Deep,1326000,1393000
nm2740432,Supersonic,1326000,1393000
nm1900772,A-Train,1393000,1417000
nm2003700,The Deep,1393000,1417000
nm1102278,Homelander,1395000,1417000
nm1900772,A-Train,1417000,1484000
nm2740432,Supersonic,1417000,1484000
nm1102278,Homelander,1484000,1493000
nm3929195,Starlight,1484000,1493000
nm4425051,Hughie,1486000,1493000
nm0022306,Mother's Milk,1493000,1610000
nm0881631,Butcher,1495000,1610000
nm6150071,Frenchie,1625000,1671000
nm7232332,Kimiko,1625000,1671000
nm9137651,Moe,1652000,1671000
nm7232332,Kimiko,1672000,1864000
nm9137651,Moe,1672000,1864000
nm0312334,Oligarch,1692000,1864000
nm8530399,Woman,1692000,1864000
nm4707628,Victoria Neuman,1866000,1886000
nm0002064,Stan Edgar,1872000,1886000
nm1069800,Queen Maeve,1886000,1893000
nm1900772,A-Train,1886000,1893000
nm3929195,Starlight,1886000,1893000
nm4707628,Victoria Neuman,1886000,1893000
nm2740432,Supersonic,1887000,1893000
nm1069800,Queen Maeve,1893000,1982000
nm2740432,Supersonic,1893000,1982000
nm3929195,Starlight,1893000,1982000
nm1102278,Homelander,1894000,1982000
nm4707628,Victoria Neuman,1901000,1982000
nm0002064,Stan Edgar,1908000,1982000
nm1900772,A-Train,1953000,1982000
nm0002064,Stan Edgar,1982000,2001000
nm4707628,Victoria Neuman,1984000,2001000
nm2281371,Ashley Barrett,2001000,2010000
nm0249378,Cameron Coleman,2010000,2076000
nm2281371,Ashley Barrett,2011000,2076000
nm7232332,Kimiko,2076000,2100000
nm0881631,Butcher,2078000,2100000
nm6150071,Frenchie,2078000,2100000
nm0022306,Mother's Milk,2079000,2100000
nm4425051,Hughie,2079000,2100000
nm7232332,Kimiko,2100000,2219000
nm6150071,Frenchie,2103000,2219000
nm4707628,Victoria Neuman,2221000,2235000
nm1102278,Homelander,2235000,2357000
nm4707628,Victoria Neuman,2237000,2357000
nm0881631,Butcher,2357000,2390000
nm0881631,Butcher,2390000,2489000
nm4425051,Hughie,2390000,2489000
nm0002064,Stan Edgar,2491000,2497000
nm1102278,Homelander,2497000,2638000
nm0002064,Stan Edgar,2502000,2638000
nm11253362,Zoe Neuman,2638000,2729000
nm4707628,Victoria Neuman,2638000,2729000
nm0022306,Mother's Milk,2732000,2764000
nm0881631,Butcher,2735000,2764000
nm0022306,Mother's Milk,2765000,2942000
nm0881631,Butcher,2765000,2942000
nm6150071,Frenchie,2765000,2942000
nm7232332,Kimiko,2766000,2942000
nm4425051,Hughie,2782000,2942000
nm4425051,Hughie,2942000,3028000
nm0881631,Butcher,2945000,3028000
nm0022306,Mother's Milk,2955000,3028000
nm6150071,Frenchie,2957000,3028000
nm7232332,Kimiko,2957000,3028000
nm0022306,Mother's Milk,3033000,3146000
nm0881631,Butcher,3033000,3146000
nm4425051,Hughie,3034000,3146000
nm6150071,Frenchie,3040000,3146000
nm7232332,Kimiko,3040000,3146000
nm0022306,Mother's Milk,3148000,3159000
nm0881631,Butcher,3148000,3159000
nm4425051,Hughie,3148000,3159000
nm0010075,Soldier Boy,3159000,3237000
nm0881631,Butcher,3162000,3237000
nm0022306,Mother's Milk,3174000,3237000
nm4425051,Hughie,3174000,3237000
nm6150071,Frenchie,3178000,3237000
nm7232332,Kimiko,3197000,3237000
nm4425051,Hughie,3240000,3285000
nm0022306,Mother's Milk,3241000,3285000
nm6150071,Frenchie,3242000,3285000
nm7232332,Kimiko,3244000,3285000
nm0881631,Butcher,3255000,3285000
nm1102278,Homelander,3287000,3456000
nm3929195,Starlight,3288000,3456000
