nconst,character,start,end
nm0881631,Billy Butcher,22000,125000
nm1416900,Becca Butcher,27000,125000
nm0881631,Billy Butcher,129000,194000
nm1416900,Becca Butcher,155000,194000
nm0261170,Susan Raynor,197000,362000
nm0881631,Billy Butcher,204000,362000
nm0881631,Billy Butcher,363000,694000
nm0020329,Popclaw,368000,694000
nm0022306,Mother’s Milk,402000,694000
nm6150071,Frenchie,402000,694000
nm4425051,Hughie Campbell,406000,694000
nm0007664,Filipino Guy,468000,694000
nm7232332,The Female,604000,694000
nm2003700,The Deep,702000,815000
nm0005120,Dr. Damien Hodgman,710000,815000
nm6150071,Frenchie,818000,1009000
nm0007664,Filipino Guy,833000,1009000
nm4425051,Hughie Campbell,836000,1009000
nm0881631,Billy Butcher,841000,1009000
nm0022306,Mother’s Milk,871000,1009000
nm0000223,Madelyn Stillwell,1011000,1115000
nm0057217,Seth Reed,1012000,1115000
nm0998489,Evan Lambert,1012000,1115000
nm1069800,Queen Maeve,1055000,1115000
nm1102278,Homelander,1056000,1115000
nm6150071,Frenchie,1115000,1186000
nm7343952,Cherie,1115000,1186000
nm1900772,A-Train,1173000,1186000
nm0000223,Madelyn Stillwell,1189000,1274000
nm2003700,The Deep,1196000,1274000
nm1900772,A-Train,1284000,1452000
nm7232332,The Female,1461000,1485000
nm0035334,Mamasan Matron,1475000,1485000
nm2003700,The Deep,1485000,1631000
nm3929195,Starlight,1498000,1631000
nm4425051,Hughie Campbell,1498000,1631000
nm9481962,Heavy Terrorist,1636000,1961000
nm2631436,Tall Terrorist,1640000,1961000
nm9125441,Clean Cut Terrorist,1644000,1961000
nm0677310,Sweet Mom,1645000,1961000
nm7811049,Cute Little Girl,1645000,1961000
nm1069800,Queen Maeve,1662000,1961000
nm1102278,Homelander,1676000,1961000
nm3823884,Flight Attendant,1714000,1961000
nm5784413,Cockpit Terrorist,1729000,1961000
nm6575546,Passenger #4,1831000,1961000
nm0881631,Billy Butcher,1966000,2078000
nm1569513,Street Cop,1966000,2078000
nm0022306,Mother’s Milk,1967000,2078000
nm4468899,Cop,1967000,2078000
nm6150071,Frenchie,1971000,2078000
nm1900772,A-Train,1995000,2078000
nm4425051,Hughie Campbell,2079000,2223000
nm3929195,Starlight,2085000,2223000
nm0072648,Ezekiel,2092000,2223000
nm1102278,Homelander,2095000,2223000
nm0022306,Mother’s Milk,2225000,2509000
nm0881631,Billy Butcher,2227000,2509000
nm6150071,Frenchie,2227000,2509000
nm7232332,The Female,2345000,2509000
nm4425051,Hughie Campbell,2509000,2639000
nm3929195,Starlight,2514000,2639000
nm3678876,Robin,2593000,2639000
nm0881631,Billy Butcher,2639000,2826000
nm6150071,Frenchie,2639000,2826000
nm0022306,Mother’s Milk,2641000,2826000
nm2003700,The Deep,2838000,2904000
nm7232332,The Female,2906000,3120000
nm0022306,Mother’s Milk,2922000,3120000
nm0881631,Billy Butcher,2922000,3120000
nm6150071,Frenchie,2922000,3120000
nm1900772,A-Train,2946000,3120000
nm7747190,A-Train Fan,3001000,3120000
nm1102278,Homelander,3140000,3273000
nm1069800,Queen Maeve,3144000,3273000
nm1845550,Reporter,3159000,3273000
nm0000223,Madelyn Stillwell,3160000,3273000
