nconst,character,start,end
nm3929195,Starlight,81000,87000
nm0249378,Cameron Coleman,87000,107000
nm2281371,Ashley Barrett,87000,107000
nm2281371,Ashley Barrett,107000,114000
nm7232332,Kimiko,107000,114000
nm0010075,Soldier Boy,114000,124000
nm0001663,The Legend,124000,213000
nm4425051,Hughie,126000,213000
nm0010075,Soldier Boy,132000,213000
nm0881631,Butcher,213000,222000
nm0001663,The Legend,215000,222000
nm4425051,Hughie,215000,222000
nm0010075,Soldier Boy,223000,329000
nm0881631,Butcher,225000,329000
nm4425051,Hughie,225000,329000
nm0001663,The Legend,238000,329000
nm1102278,Homelander,335000,341000
nm1069800,Queen Maeve,341000,525000
nm1102278,Homelander,342000,525000
nm0022306,Mother's Milk,525000,528000
nm6150071,Frenchie,526000,528000
nm7232332,Kimiko,526000,528000
nm3929195,Starlight,528000,560000
nm0022306,Mother's Milk,529000,560000
nm6150071,Frenchie,529000,560000
nm7232332,Kimiko,529000,560000
nm0010075,Soldier Boy,560000,637000
nm0881631,Butcher,560000,637000
nm4425051,Hughie,560000,637000
nm1756121,Black Noir,637000,681000
nm1082823,Buster Beaver,681000,733000
nm1756121,Black Noir,681000,733000
nm4425051,Hughie,733000,775000
nm0881631,Butcher,734000,775000
nm0010075,Soldier Boy,735000,775000
nm1837990,Mindstorm,775000,776000
nm0881631,Butcher,776000,792000
nm5531364,Butcher's Mother,792000,805000
nm0881631,Butcher,793000,805000
nm0881631,Butcher,805000,883000
nm4425051,Hughie,805000,883000
nm0010075,Soldier Boy,808000,883000
nm0881631,Butcher,883000,907000
nm10814744,Young Butcher,889000,907000
nm11689578,Young Lenny,891000,907000
nm0881631,Butcher,907000,982000
nm1895271,Sam,907000,982000
nm10814744,Young Butcher,916000,982000
nm11689578,Young Lenny,962000,982000
nm0022306,Mother's Milk,983000,1047000
nm6150071,Frenchie,983000,1047000
nm8293944,Scientist,984000,1047000
nm3929195,Starlight,1049000,1186000
nm7232332,Kimiko,1049000,1186000
nm0010075,Soldier Boy,1186000,1255000
nm4425051,Hughie,1186000,1255000
nm2003700,The Deep,1255000,1257000
nm2003700,The Deep,1257000,1443000
nm2068715,Cassandra,1257000,1443000
nm1756121,Black Noir,1443000,1551000
nm1082823,Buster Beaver,1445000,1551000
nm0010075,Eagle Soldier Boy,1471000,1551000
nm8323958,Sheep Black Noir,1487000,1551000
nm0390229,Fox Crimson Countess,1505000,1551000
nm0881631,Butcher,1551000,1650000
nm10814744,Young Butcher,1556000,1650000
nm1705467,Headmaster,1561000,1650000
nm1895271,Sam,1570000,1650000
nm11689578,Young Lenny,1583000,1650000
nm0633604,Sam,1604000,1650000
nm0010075,Soldier Boy,1651000,1655000
nm4425051,Hughie,1652000,1655000
nm0042336,Priest,1655000,1748000
nm1971004,Nun,1655000,1748000
nm0010075,Soldier Boy,1658000,1748000
nm4425051,Hughie,1658000,1748000
nm3929195,Starlight,1748000,1751000
nm1102278,Homelander,1751000,1760000
nm3929195,Starlight,1751000,1760000
nm1102278,Homelander,1760000,1810000
nm11194853,Janine,1773000,1810000
