nconst,character,start,end
nm2003700,The Deep,9000,14000
nm0000708,Alastair (movie version),14000,63000
nm2003700,The Deep,20000,63000
nm3859763,Cassandra (movie version),21000,63000
nm1102278,Homelander,63000,120000
nm0881631,Butcher,75000,120000
nm0881631,Butcher,120000,133000
nm5385972,Teen,120000,133000
nm0881631,Butcher,133000,212000
nm7805172,Ryan,150000,212000
nm2251731,Stormfront,216000,273000
nm1102278,Homelander,217000,273000
nm3929195,Starlight,273000,351000
nm4425051,Hughie,277000,351000
nm2740432,Supersonic,356000,446000
nm1108188,Choreographer,357000,446000
nm3929195,Starlight,359000,446000
nm8305739,Stage Manager,386000,446000
nm1102278,Homelander,392000,446000
nm0022306,Mother's Milk,446000,451000
nm11194853,Janine,447000,451000
nm0881631,Butcher,451000,526000
nm0022306,Mother's Milk,454000,526000
nm11194853,Janine,455000,526000
nm0022306,Mother's Milk,526000,585000
nm0881631,Butcher,526000,585000
nm11194853,Janine,551000,585000
nm0022306,Mother's Milk,591000,626000
nm7232332,Kimiko,634000,975000
nm6150071,Frenchie,637000,975000
nm0010075,Soldier Boy,760000,975000
nm0390229,Crimson Countess,784000,975000
nm4425051,Hughie,975000,1008000
nm4707628,Victoria Neuman,978000,1008000
nm2740432,Supersonic,1009000,1039000
nm4425051,Hughie,1010000,1039000
nm1102278,Homelander,1018000,1039000
nm3929195,Starlight,1018000,1039000
nm1102278,Homelander,1039000,1160000
nm3929195,Starlight,1039000,1160000
nm8305739,Stage Manager,1053000,1160000
nm0002064,Stan Edgar,1160000,1222000
nm1102278,Homelander,1160000,1222000
nm3929195,Starlight,1160000,1222000
nm2740432,Supersonic,1209000,1222000
nm0057217,Seth Reed,1222000,1354000
nm1900772,A-Train,1222000,1354000
nm2281371,Ashley Barrett,1222000,1354000
nm2062703,Also Ashley,1224000,1354000
nm0057217,Seth,1354000,1380000
nm1900772,A-Train,1354000,1380000
nm0145009,Vanessa,1383000,1488000
nm4425051,Hughie,1383000,1488000
nm2320740,Teacher,1397000,1488000
nm13711233,Teddy,1414000,1488000
nm13711234,Teddy,1414000,1488000
nm3929195,Starlight,1435000,1488000
nm0145009,Vanessa,1488000,1525000
nm4425051,Hughie,1488000,1525000
nm4425051,Hughie,1527000,1562000
nm12595343,Young Nadia,1541000,1562000
nm0002064,Stan Edgar,1562000,1575000
nm12595343,Young Nadia,1562000,1575000
nm4425051,Hughie,1564000,1575000
nm4707628,Victoria Neuman,1575000,1657000
nm0002064,Stan Edgar,1578000,1657000
nm11253362,Zoe,1580000,1657000
nm0881631,Butcher,1659000,1702000
nm3979748,Security Guard,1660000,1702000
nm0001218,Gunpowder,1702000,1879000
nm0881631,Butcher,1706000,1879000
nm0881631,Butcher,1879000,2007000
nm0001218,Gunpowder,1941000,2007000
nm2062703,Also Ashley,2010000,2074000
nm2281371,Ashley Barrett,2010000,2074000
nm1102278,Homelander,2023000,2074000
nm6757431,Chelsea,2023000,2074000
nm1102278,Homelander,2074000,2229000
nm2251731,Stormfront,2074000,2229000
nm6757431,Chelsea,2074000,2229000
nm2062703,Also Ashley,2212000,2229000
nm2281371,Ashley Barrett,2212000,2229000
nm0022306,Mother's Milk,2230000,2298000
nm11194853,Janine,2241000,2298000
nm4425051,Hughie,2300000,2353000
nm4707628,Victoria Neuman,2312000,2353000
nm3929195,Starlight,2353000,2406000
nm4425051,Hughie,2353000,2406000
nm4707628,Victoria Neuman,2360000,2406000
nm3929195,Starlight,2407000,2484000
nm4425051,Hughie,2407000,2484000
nm0022306,Mother's Milk,2484000,2517000
nm11194853,Janine,2486000,2517000
nm4941776,Todd,2496000,2517000
nm2204675,Monique,2517000,2637000
nm0022306,Mother's Milk,2523000,2637000
nm7232332,Kimiko,2648000,2736000
nm6150071,Frenchie,2650000,2736000
nm0881631,Butcher,2740000,2795000
nm4425051,Hughie,2795000,2881000
nm0881631,Butcher,2808000,2881000
nm1102278,Homelander,2887000,2903000
nm0001218,Gunpowder,2903000,2909000
nm0001218,Gunpowder,2909000,3111000
nm0881631,Butcher,2909000,3111000
nm2740432,Supersonic,3111000,3217000
nm3929195,Starlight,3123000,3217000
nm1102278,Homelander,3125000,3217000
nm2281371,Ashley Barrett,3134000,3217000
nm0002064,Stan Edgar,3142000,3217000
nm2062703,Also Ashley,3143000,3217000
nm1900772,A-Train,3146000,3217000
nm1102278,Homelander,3217000,3360000
nm3164080,Heckler,3217000,3360000
nm3929195,Starlight,3217000,3360000
nm0002064,Stan Edgar,3219000,3360000
nm2062703,Also Ashley,3220000,3360000
nm2281371,Ashley Barrett,3220000,3360000
nm1900772,A-Train,3262000,3360000
nm2740432,Supersonic,3262000,3360000
nm4425051,Hughie,3293000,3360000
nm4941776,Todd,3297000,3360000
nm2204675,Monique,3304000,3360000
