nconst,character,start,end
nm1069800,Queen Maeve,28000,186000
nm1307435,Translucent,32000,186000
nm2003700,The Deep,37000,186000
nm0000223,Madelyn Stillwell,38000,186000
nm0881631,Billy Butcher,53000,186000
nm1416900,Becca Butcher,66000,186000
nm1102278,Homelander,85000,186000
nm0881631,Billy Butcher,186000,206000
nm4425051,Hughie Campbell,190000,206000
nm3929195,Starlight,192000,206000
nm3929195,Starlight,209000,432000
nm4425051,Hughie Campbell,209000,432000
nm4425051,Hughie Campbell,432000,468000
nm6150071,Frenchie,434000,468000
nm1102278,Homelander,435000,468000
nm0881631,Billy Butcher,438000,468000
nm7232332,The Female,443000,468000
nm0022306,Mother’s Milk,445000,468000
nm1416900,Becca Butcher,466000,468000
nm2003700,The Deep,476000,573000
nm0067289,Jeff,480000,573000
nm1900772,A-Train,575000,1015000
nm1828818,Nathan,576000,1015000
nm1756121,Black Noir,651000,1015000
nm1102278,Homelander,653000,1015000
nm1069800,Queen Maeve,660000,1015000
nm3929195,Starlight,660000,1015000
nm4425051,Hughie Campbell,725000,1015000
nm7232332,The Female,1017000,1259000
nm0881631,Billy Butcher,1019000,1259000
nm6150071,Frenchie,1020000,1259000
nm4425051,Hughie Campbell,1037000,1259000
nm0022306,Mother’s Milk,1055000,1259000
nm1900772,A-Train,1166000,1259000
nm0670408,Hugh Campbell,1178000,1259000
nm0670408,Hugh Campbell,1262000,1448000
nm1900772,A-Train,1277000,1448000
nm4425051,Hughie Campbell,1341000,1448000
nm7232332,The Female,1435000,1448000
nm0022306,Mother’s Milk,1450000,1499000
nm7596733,Monique,1452000,1499000
nm9351811,Janine,1473000,1499000
nm0000223,Madelyn Stillwell,1500000,1655000
nm1102278,Homelander,1507000,1655000
nm2003700,The Deep,1656000,1782000
nm3784038,Molly,1656000,1782000
nm0005286,Mesmer,1793000,1942000
nm0881631,Billy Butcher,1797000,1942000
nm1416900,Becca Butcher,1863000,1942000
nm0732309,Grace Mallory,1942000,2024000
nm0881631,Billy Butcher,1942000,2024000
nm3929195,Starlight,2026000,2128000
nm1069800,Queen Maeve,2043000,2128000
nm2003700,The Deep,2132000,2204000
nm2649618,Seafood Guy,2175000,2204000
nm0670408,Hugh Campbell,2204000,2402000
nm6150071,Frenchie,2207000,2402000
nm4425051,Hughie Campbell,2212000,2402000
nm0022306,Mother’s Milk,2220000,2402000
nm7596733,Monique,2220000,2402000
nm9351811,Janine,2223000,2402000
nm0881631,Billy Butcher,2237000,2402000
nm7232332,The Female,2242000,2402000
nm0231283,Jonah Vogelbaum,2409000,2731000
nm1102278,Homelander,2420000,2731000
nm1416900,Becca Butcher,2518000,2731000
nm0000223,Madelyn Stillwell,2522000,2731000
nm4425051,Hughie Campbell,2731000,2891000
nm0670408,Hugh Campbell,2738000,2891000
nm6150071,Frenchie,2740000,2891000
nm0022306,Mother’s Milk,2746000,2891000
nm0881631,Billy Butcher,2749000,2891000
nm0261170,Susan Raynor,2763000,2891000
nm7596733,Monique,2792000,2891000
nm9351811,Janine,2799000,2891000
nm3929195,Starlight,2870000,2891000
nm0000223,Madelyn Stillwell,2893000,2996000
nm0261170,Susan Raynor,2895000,2996000
nm0261170,Susan Raynor,2997000,3108000
nm3127378,Operations Agent,3000000,3108000
nm10858907,Naqib,3042000,3108000
nm3929195,Starlight,3112000,3264000
nm4425051,Hughie Campbell,3123000,3264000
nm0881631,Billy Butcher,3231000,3264000
