nconst,character,start,end
nm1102278,Homelander,126000,230000
nm1069800,Queen Maeve,194000,230000
nm3929195,Starlight,195000,230000
nm1756121,Black Noir,198000,230000
nm1900772,A-Train,201000,230000
nm1102278,Homelander,230000,252000
nm2281371,Ashley Barrett,230000,252000
nm0002064,Stan Edgar,233000,252000
nm1069800,Queen Maeve,233000,252000
nm3929195,Starlight,233000,252000
nm1069800,Queen Maeve,261000,302000
nm1102278,Homelander,261000,302000
nm0126260,Adam Bourke,275000,302000
nm6345766,Reporter,275000,302000
nm3929195,Starlight,292000,302000
nm4425051,Hughie,292000,302000
nm1102278,Homelander,302000,340000
nm3929195,Starlight,304000,340000
nm4425051,Hughie,304000,340000
nm0002064,Stan Edgar,327000,340000
nm4707628,Victoria Neuman,329000,340000
nm2281371,Ashley Barrett,336000,340000
nm4707628,Victoria Neuman,340000,395000
nm4425051,Hughie,342000,395000
nm2830921,Random dude,347000,395000
nm1900772,A-Train,352000,395000
nm1756121,Black Noir,365000,395000
nm0002064,Stan Edgar,395000,416000
nm1102278,Homelander,395000,416000
nm2281371,Ashley Barrett,418000,432000
nm0126260,Adam Bourke,421000,432000
nm2281371,Ashley Barrett,432000,458000
nm4425051,Hughie,432000,458000
nm0126260,Adam Bourke,439000,458000
nm0881631,Butcher,458000,529000
nm4425051,Hughie,458000,529000
nm6150071,Frenchie,533000,578000
nm7232332,Kimiko,533000,578000
nm0881631,Butcher,546000,578000
nm9386229,Peter,566000,578000
nm10445529,Cool Girl,583000,628000
nm7232332,Kimiko,586000,628000
nm5213022,Termite,630000,765000
nm6150071,Frenchie,634000,765000
nm9386229,Peter,637000,765000
nm5213022,Termite,766000,831000
nm6150071,Frenchie,766000,831000
nm7232332,Kimiko,793000,831000
nm0881631,Butcher,831000,880000
nm5213022,Termite,844000,880000
nm7232332,Kimiko,855000,880000
nm6150071,Frenchie,856000,880000
nm4425051,Hughie,884000,895000
nm3929195,Starlight,895000,942000
nm4425051,Hughie,895000,942000
nm0670408,Hughie's Father,943000,1001000
nm4425051,Hughie,943000,1001000
nm3929195,Starlight,945000,1001000
nm4707628,Victoria Neuman,1007000,1049000
nm4425051,Hughie,1009000,1049000
nm3998232,Ivy,1017000,1049000
nm8722705,Simon,1032000,1049000
nm0064769,Robert Singer,1049000,1110000
nm4425051,Hughie,1050000,1110000
nm4707628,Victoria Neuman,1050000,1110000
nm4425051,Hughie,1110000,1157000
nm2830921,Random dude,1117000,1157000
nm4707628,Victoria Neuman,1128000,1157000
nm3115672,Security Guard,1138000,1157000
nm0881631,Butcher,1165000,1184000
nm3588591,Armed Soldier,1170000,1184000
nm0881631,Butcher,1192000,1338000
nm7805172,Ryan,1194000,1338000
nm0732309,Grace Mallory,1196000,1338000
nm0249378,Cameron Coleman,1339000,1449000
nm1102278,Homelander,1340000,1449000
nm2281371,Ashley Barrett,1345000,1449000
nm2003700,The Deep,1350000,1449000
nm2068715,Cassandra,1371000,1449000
nm0249378,Cameron Coleman,1449000,1497000
nm1102278,Homelander,1449000,1497000
nm2281371,Ashley Barrett,1480000,1497000
nm11194853,Janine,1500000,1543000
nm0022306,Mother's Milk,1502000,1543000
nm2204675,Monique,1512000,1543000
nm4941776,Todd,1524000,1543000
nm0022306,Mother's Milk,1543000,1636000
nm2204675,Monique,1545000,1636000
nm4941776,Todd,1613000,1636000
nm11194853,Janine,1626000,1636000
nm0064769,Robert Singer,1643000,1796000
nm0002064,Stan Edgar,1649000,1796000
nm4707628,Victoria Neuman,1796000,1871000
nm4425051,Hughie,1798000,1871000
nm0881631,Butcher,1872000,2010000
nm4425051,Hughie,1878000,2010000
nm6150071,Frenchie,1878000,2010000
nm7232332,Kimiko,1880000,2010000
nm0881631,Butcher,2013000,2042000
nm1102278,Homelander,2042000,2255000
nm3929195,Starlight,2044000,2255000
nm0002064,Stan Edgar,2049000,2255000
nm0249378,Cameron Coleman,2256000,2330000
nm2003700,The Deep,2256000,2330000
nm13709685,Moonshadow,2290000,2330000
nm2740432,Supersonic,2290000,2330000
nm9465479,Silver Kincaid,2290000,2330000
nm2828257,Drummer Boy,2295000,2330000
nm3929195,Starlight,2320000,2330000
nm5691930,Livewire,2325000,2330000
nm3929195,Starlight,2330000,2342000
nm4425051,Hughie,2332000,2342000
nm2740432,Supersonic,2335000,2342000
nm4425051,Hughie,2342000,2436000
nm13709685,Moonshadow,2344000,2436000
nm9465479,Silver Kincaid,2345000,2436000
nm2740432,Supersonic,2351000,2436000
nm3929195,Starlight,2351000,2436000
nm3929195,Starlight,2436000,2551000
nm4425051,Hughie,2436000,2551000
nm1102278,Homelander,2551000,2568000
nm3929195,Starlight,2551000,2568000
nm2281371,Ashley Barrett,2554000,2568000
nm1102278,Homelander,2568000,2677000
nm1900772,A-Train,2573000,2677000
nm1069800,Queen Maeve,2660000,2677000
nm1102278,Homelander,2680000,2691000
nm2251731,Stormfront,2691000,2807000
nm1102278,Homelander,2694000,2807000
nm0881631,Butcher,2813000,2972000
nm1069800,Queen Maeve,2817000,2972000
nm0881631,Butcher,2974000,3010000
nm0881631,Butcher,3010000,3225000
nm1102278,Homelander,3010000,3225000
nm11194853,Janine,3231000,3270000
nm0022306,Mother's Milk,3238000,3270000
nm4425051,Hughie,3270000,3286000
nm4707628,Victoria Neuman,3270000,3286000
nm2830921,Tony,3286000,3320000
nm4425051,Hughie,3288000,3320000
nm4707628,Victoria Neuman,3320000,3485000
nm4425051,Hughie,3322000,3485000
nm2830921,Tony,3327000,3485000
