nconst,character,start,end
nm3901596,Doug Friedman,183000,371000
nm0002064,Stan Edgar,199000,371000
nm0064769,Robert Singer,203000,371000
nm4877882,Naqib,293000,371000
nm10800302,Rafiq,297000,371000
nm1756121,Black Noir,312000,371000
nm10503336,Syrian Boy,344000,371000
nm1102278,Homelander,371000,582000
nm11831982,Maverick,425000,582000
nm3929195,Starlight,493000,582000
nm2003700,The Deep,532000,582000
nm1102278,Homelander,599000,690000
nm3929195,Starlight,599000,690000
nm8443632,VNN Interviewer,623000,690000
nm4425051,Hughie Campbell,653000,690000
nm3929195,Starlight,700000,870000
nm4425051,Hughie Campbell,709000,870000
nm1900772,A-Train,742000,870000
nm7232332,Kimiko Miyashiro,761000,870000
nm6150071,Frenchie,774000,870000
nm7343952,Cherie,774000,870000
nm0022306,Mother's Milk,787000,870000
nm3929195,Starlight,870000,1037000
nm4425051,Hughie Campbell,870000,1037000
nm2003700,The Deep,1043000,1122000
nm5316223,Eagle the Archer,1083000,1122000
nm0736622,Seth Rogen,1122000,1188000
nm1561803,Fake Stillwell,1128000,1188000
nm4484458,Fake Butcher,1129000,1188000
nm1938954,Chris Hansen,1139000,1188000
nm0022306,Mother's Milk,1152000,1188000
nm4425051,Hughie Campbell,1156000,1188000
nm7232332,Kimiko Miyashiro,1156000,1188000
nm6150071,Frenchie,1163000,1188000
nm0022306,Mother's Milk,1188000,1280000
nm4425051,Hughie Campbell,1188000,1280000
nm6150071,Frenchie,1188000,1280000
nm7232332,Kimiko Miyashiro,1188000,1280000
nm1102278,Homelander,1284000,1623000
nm2281371,Ashley Barrett,1374000,1623000
nm2436618,Blindspot,1459000,1623000
nm3929195,Starlight,1625000,1802000
nm3664430,Gecko,1675000,1802000
nm1400028,Ted,1678000,1802000
nm0022306,Mother's Milk,1803000,1897000
nm6150071,Frenchie,1824000,1897000
nm4425051,Hughie Campbell,1825000,1897000
nm7232332,Kimiko Miyashiro,1825000,1897000
nm0022306,Mother's Milk,1902000,2023000
nm4425051,Hughie Campbell,1902000,2023000
nm6150071,Frenchie,1909000,2023000
nm7232332,Kimiko Miyashiro,1910000,2023000
nm3730354,Jill the Executive,2023000,2108000
nm3790450,Margaret,2027000,2108000
nm2281371,Ashley Barrett,2039000,2108000
nm2588460,Deanna,2039000,2108000
nm1102278,Homelander,2042000,2108000
nm2003700,The Deep,2108000,2299000
nm5316223,Eagle the Archer,2118000,2299000
nm0372961,Carol,2139000,2299000
nm6150071,Frenchie,2304000,2585000
nm7232332,Kimiko Miyashiro,2304000,2585000
nm4425051,Hughie Campbell,2322000,2585000
nm0022306,Mother's Milk,2328000,2585000
nm3929195,Starlight,2589000,2800000
nm3664430,Gecko,2593000,2800000
nm1102278,Homelander,2800000,2930000
nm1069800,Queen Maeve,2801000,2930000
nm2251731,Stormfront,2823000,2930000
nm2281371,Ashley Barrett,2828000,2930000
nm0022306,Mother's Milk,2930000,3083000
nm4425051,Hughie Campbell,2930000,3083000
nm6150071,Frenchie,2930000,3083000
nm7232332,Kimiko Miyashiro,2930000,3083000
nm0261170,Susan Rayner,2973000,3083000
nm4707628,Victoria Neuman,3083000,3367000
nm0002064,Stan Edgar,3089000,3367000
nm1102278,Homelander,3093000,3367000
nm1102278,Homelander,3367000,3400000
nm1416900,Becca Butcher,3387000,3400000
nm0022306,Mother's Milk,3403000,3656000
nm4425051,Hughie Campbell,3403000,3656000
nm6150071,Frenchie,3403000,3656000
nm7232332,Kimiko Miyashiro,3403000,3656000
nm3929195,Starlight,3480000,3656000
nm0881631,Billy Butcher,3595000,3656000
