nconst,character,start,end
nm8293944,Scientist,53000,75000
nm0022306,Mother's Milk,62000,75000
nm0010075,Soldier Boy,69000,75000
nm7232332,Kimiko,77000,96000
nm6150071,Frenchie,79000,96000
nm0881631,Butcher,87000,96000
nm1102278,Homelander,87000,96000
nm0010075,Soldier Boy,96000,185000
nm8293944,Scientist,96000,185000
nm0022306,Mother's Milk,103000,185000
nm0881631,Butcher,107000,185000
nm4425051,Hughie,185000,212000
nm0881631,Butcher,186000,212000
nm2281371,Ashley Barrett,217000,229000
nm1178525,Board Member,224000,229000
nm1102278,Homelander,229000,332000
nm2281371,Ashley Barrett,232000,332000
nm0533884,Bill Marsh,254000,332000
nm0531734,Pat Willis,263000,332000
nm1178525,Maureen,285000,332000
nm1335292,Barbara,332000,348000
nm4415642,Anika,343000,348000
nm2003700,The Deep,350000,406000
nm2068715,Cassandra,350000,406000
nm1335292,Barbara,351000,406000
nm4415642,Anika,390000,406000
nm0022306,Mother's Milk,406000,429000
nm0881631,Butcher,406000,429000
nm6150071,Frenchie,406000,429000
nm7232332,Kimiko,406000,429000
nm4425051,Hughie,424000,429000
nm1102278,Homelander,429000,636000
nm2740432,Supersonic,429000,636000
nm6970024,NNC News Anchor,432000,636000
nm4425051,Hughie,435000,636000
nm3929195,Starlight,445000,636000
nm0010075,Soldier Boy,647000,674000
nm0881631,Butcher,654000,674000
nm0881631,Butcher,674000,923000
nm1069800,Queen Maeve,674000,923000
nm7232332,Kimiko,923000,936000
nm6150071,Frenchie,924000,936000
nm2316016,Little Nina,936000,950000
nm6150071,Frenchie,940000,950000
nm7232332,Kimiko,947000,950000
nm2316016,Little Nina,950000,1023000
nm6150071,Frenchie,950000,1023000
nm6150071,Frenchie,1023000,1110000
nm7232332,Kimiko,1026000,1110000
nm1900772,A-Train,1110000,1130000
nm3929195,Starlight,1113000,1130000
nm2281371,Ashley Barrett,1131000,1137000
nm1900772,A-Train,1137000,1156000
nm2281371,Ashley Barrett,1137000,1156000
nm0917060,Blue Hawk,1156000,1250000
nm2281371,Ashley Barrett,1156000,1250000
nm1900772,A-Train,1163000,1250000
nm0010075,Soldier Boy,1250000,1316000
nm1102278,Homelander,1316000,1328000
nm11194853,Janine,1325000,1328000
nm0022306,Mother's Milk,1328000,1392000
nm4941776,Todd,1328000,1392000
nm11194853,Janine,1332000,1392000
nm0243678,VNN News Anchor,1392000,1430000
nm0022306,Mother's Milk,1394000,1430000
nm0010075,Soldier Boy,1398000,1430000
nm11194853,Janine,1408000,1430000
nm4941776,Todd,1413000,1430000
nm1102278,Homelander,1431000,1444000
nm0010075,Soldier Boy,1437000,1444000
nm1102278,Homelander,1444000,1501000
nm2062703,Also Ashley,1444000,1501000
nm2281371,Ashley Barrett,1444000,1501000
nm3929195,Starlight,1444000,1501000
nm3929195,Starlight,1501000,1505000
nm4425051,Hughie,1505000,1514000
nm3929195,Starlight,1506000,1514000
nm0881631,Butcher,1514000,1533000
nm4425051,Hughie,1515000,1533000
nm3998232,Ivy,1533000,1565000
nm0881631,Butcher,1535000,1565000
nm4425051,Hughie,1535000,1565000
nm0022306,Mother's Milk,1565000,1636000
nm0881631,Butcher,1568000,1636000
nm4425051,Hughie,1568000,1636000
nm3929195,Starlight,1636000,1676000
nm4415642,Anika,1637000,1676000
nm1900772,A-Train,1676000,1681000
nm1828818,Nathan,1681000,1688000
nm1900772,A-Train,1683000,1688000
nm0917060,Blue Hawk,1688000,1850000
nm1828818,Nathan,1697000,1850000
nm1900772,A-Train,1700000,1850000
nm0022306,Mother's Milk,1850000,1879000
nm0881631,Butcher,1850000,1879000
nm4425051,Hughie,1850000,1879000
nm0001663,The Legend,1879000,2150000
nm0022306,Mother's Milk,1879000,2150000
nm4425051,Hughie,1879000,2150000
nm0881631,Butcher,1889000,2150000
nm0249378,Cameron Coleman,2150000,2154000
nm1102278,Homelander,2154000,2184000
nm0249378,Cameron Coleman,2160000,2184000
nm0249378,Cameron Coleman,2184000,2212000
nm1069800,Queen Maeve,2184000,2212000
nm1102278,Homelander,2190000,2212000
nm1069800,Queen Maeve,2212000,2375000
nm1102278,Homelander,2221000,2375000
nm0022306,Mother's Milk,2376000,2473000
nm0881631,Butcher,2376000,2473000
nm4425051,Hughie,2376000,2473000
nm3929195,Starlight,2473000,2567000
nm2281371,Ashley Barrett,2475000,2567000
nm1828818,Nathan,2568000,2583000
nm3615514,Doctor,2568000,2583000
nm1900772,A-Train,2574000,2583000
nm0917060,Blue Hawk,2583000,2595000
nm1900772,A-Train,2590000,2595000
nm1828818,Nathan,2593000,2595000
nm3615514,Doctor,2593000,2595000
