nconst,character,start,end
nm0020329,Popclaw,22000,230000
nm1900772,A-Train,34000,230000
nm1102278,Homelander,230000,319000
nm1900772,A-Train,236000,319000
nm7232332,The Female,325000,388000
nm6150071,Frenchie,327000,388000
nm7609013,Supe Gospel Singer,388000,713000
nm3929195,Starlight,421000,713000
nm4425051,Hughie Campbell,423000,713000
nm0022306,Mother’s Milk,471000,713000
nm0881631,Billy Butcher,471000,713000
nm0193639,Donna January,489000,713000
nm2281371,Ashley Barrett,524000,713000
nm0072648,Ezekiel,556000,713000
nm6922083,Believe Attendee,613000,713000
nm1069800,Queen Maeve,713000,854000
nm1102278,Homelander,713000,854000
nm0193639,Donna January,856000,978000
nm3929195,Starlight,856000,978000
nm1868511,Pastor John,872000,978000
nm2281371,Ashley Barrett,876000,978000
nm8968714,Curious Girl,876000,978000
nm10858730,Shy Boy,884000,978000
nm9684220,Older Girl,930000,978000
nm0022306,Mother’s Milk,978000,1047000
nm0881631,Billy Butcher,978000,1047000
nm0369241,Pastor,988000,1047000
nm4425051,Hughie Campbell,1021000,1047000
nm0193639,Donna January,1047000,1163000
nm3929195,Starlight,1048000,1163000
nm4425051,Hughie Campbell,1048000,1163000
nm0022306,Mother’s Milk,1078000,1163000
nm0881631,Billy Butcher,1078000,1163000
nm3678876,Robin,1106000,1163000
nm1102278,Homelander,1165000,1331000
nm2281371,Ashley Barrett,1167000,1331000
nm0000223,Madelyn Stillwell,1209000,1331000
nm2694584,Rachel,1336000,1452000
nm0881631,Billy Butcher,1342000,1452000
nm0000708,Billy Zane,1457000,1559000
nm0020329,Popclaw,1464000,1559000
nm1900772,A-Train,1473000,1559000
nm6150071,Frenchie,1523000,1559000
nm0877304,Trevor,1544000,1559000
nm1756121,Black Noir,1545000,1559000
nm0072648,Ezekiel,1560000,1739000
nm4425051,Hughie Campbell,1562000,1739000
nm1102278,Homelander,1571000,1739000
nm3194791,Emotional Donor,1630000,1739000
nm1102278,Homelander,1742000,1955000
nm4425051,Hughie Campbell,1745000,1955000
nm3194791,Emotional Donor,1746000,1955000
nm0072648,Ezekiel,1748000,1955000
nm0022306,Mother’s Milk,1903000,1955000
nm0881631,Billy Butcher,1956000,2009000
nm1102278,Homelander,2009000,2147000
nm0000223,Madelyn Stillwell,2014000,2147000
nm0072648,Ezekiel,2023000,2147000
nm0193639,Donna January,2023000,2147000
nm1868511,Pastor John,2023000,2147000
nm3929195,Starlight,2023000,2147000
nm2281371,Ashley Barrett,2024000,2147000
nm6922083,Believe Attendee,2087000,2147000
nm1997152,Elena,2147000,2356000
nm1069800,Queen Maeve,2154000,2356000
nm7232332,The Female,2356000,2384000
nm6150071,Frenchie,2359000,2384000
nm7343952,Cherie,2367000,2384000
nm0022306,Mother’s Milk,2392000,2453000
nm0881631,Billy Butcher,2392000,2453000
nm6150071,Frenchie,2409000,2453000
nm7232332,The Female,2429000,2453000
nm0193639,Donna January,2453000,2538000
nm3929195,Starlight,2453000,2538000
nm2970187,Hair Stylist,2454000,2538000
nm2281371,Ashley Barrett,2471000,2538000
nm6150071,Frenchie,2538000,2625000
nm7232332,The Female,2541000,2625000
nm2003700,The Deep,2636000,2866000
nm3929195,Starlight,2648000,2866000
nm4425051,Hughie Campbell,2659000,2866000
nm0072648,Ezekiel,2669000,2866000
nm1868511,Pastor John,2669000,2866000
nm2281371,Ashley Barrett,2669000,2866000
nm0193639,Donna January,2692000,2866000
nm0000223,Madelyn Stillwell,2760000,2866000
nm0022306,Mother’s Milk,2866000,2911000
nm0881631,Billy Butcher,2866000,2911000
nm3929195,Starlight,2911000,3042000
nm4425051,Hughie Campbell,2913000,3042000
nm0022306,Mother’s Milk,3042000,3128000
nm0881631,Billy Butcher,3042000,3128000
nm0000223,Madelyn Stillwell,3128000,3300000
nm10858875,Male News Anchor,3128000,3300000
nm1102278,Homelander,3135000,3300000
nm6150071,Frenchie,3304000,3495000
nm1756121,Black Noir,3312000,3495000
nm7232332,The Female,3340000,3495000
