nconst,character,start,end
nm1102278,Homelander,34000,160000
nm0064769,Secretary of Defense Robert A. Singer,160000,273000
nm0000223,Madelyn Stillwell,174000,273000
nm0261170,Susan Raynor,273000,390000
nm0881631,Billy Butcher,277000,390000
nm0022306,Mother’s Milk,297000,390000
nm6150071,Frenchie,307000,390000
nm4425051,Hughie Campbell,311000,390000
nm7232332,The Female,347000,390000
nm0022306,Mother’s Milk,393000,445000
nm0881631,Billy Butcher,393000,445000
nm4425051,Hughie Campbell,393000,445000
nm6150071,Frenchie,393000,445000
nm3929195,Starlight,449000,654000
nm0193639,Donna January,456000,654000
nm2003700,The Deep,654000,764000
nm0067289,Jeff,655000,764000
nm0881631,Billy Butcher,769000,873000
nm4425051,Hughie Campbell,769000,873000
nm0732309,Grace Mallory,777000,873000
nm7232332,The Female,873000,986000
nm0022306,Mother’s Milk,926000,986000
nm6150071,Frenchie,926000,986000
nm0732309,Grace Mallory,986000,1128000
nm0881631,Billy Butcher,989000,1128000
nm4425051,Hughie Campbell,990000,1128000
nm1900772,A-Train,1128000,1222000
nm0177684,Security Guard,1149000,1222000
nm7486145,Excited Teen,1165000,1222000
nm8968713,Excited Teen's Friend,1165000,1222000
nm0881631,Billy Butcher,1222000,1398000
nm4425051,Hughie Campbell,1226000,1398000
nm2003700,The Deep,1398000,1484000
nm3929195,Starlight,1484000,1708000
nm4425051,Hughie Campbell,1500000,1708000
nm1900772,A-Train,1708000,1792000
nm1828818,Nathan,1730000,1792000
nm0000223,Madelyn Stillwell,1799000,1930000
nm1756121,Black Noir,1805000,1930000
nm1102278,Homelander,1838000,1930000
nm0002064,Stan Edgar,1855000,1930000
nm3929195,Starlight,1931000,2108000
nm7426827,Officer,1939000,2108000
nm1069800,Queen Maeve,1970000,2108000
nm0000223,Madelyn Stillwell,2108000,2381000
nm1102278,Homelander,2119000,2381000
nm0022306,Mother’s Milk,2382000,2470000
nm6150071,Frenchie,2382000,2470000
nm0000223,Madelyn Stillwell,2470000,2561000
nm1102278,Homelander,2470000,2561000
nm4425051,Hughie Campbell,2564000,2730000
nm0022306,Mother’s Milk,2588000,2730000
nm6150071,Frenchie,2588000,2730000
nm0000223,Madelyn Stillwell,2735000,2844000
nm0881631,Billy Butcher,2755000,2844000
nm0022306,Mother’s Milk,2844000,3052000
nm4425051,Hughie Campbell,2844000,3052000
nm6150071,Frenchie,2844000,3052000
nm7232332,The Female,2872000,3052000
nm3929195,Starlight,3010000,3052000
nm0022306,Mother’s Milk,3052000,3319000
nm6150071,Frenchie,3052000,3319000
nm7232332,The Female,3052000,3319000
nm4425051,Hughie Campbell,3056000,3319000
nm3929195,Starlight,3063000,3319000
nm1900772,A-Train,3072000,3319000
nm0000223,Madelyn Stillwell,3319000,3781000
nm0881631,Billy Butcher,3327000,3781000
nm1102278,Homelander,3369000,3781000
nm0881631,Billy Butcher,3784000,3879000
nm1102278,Homelander,3798000,3879000
nm10859043,8 Year Old Boy,3818000,3879000
nm1416900,Becca Butcher,3837000,3879000
