nconst,character,start,end
nm7805172,Ryan,87000,95000
nm1102278,Homelander,95000,99000
nm7805172,Ryan,97000,99000
nm0732309,Grace Mallory,99000,219000
nm7805172,Ryan,99000,219000
nm1102278,Homelander,100000,219000
nm8493111,Starlighter,221000,245000
nm7624031,Hometeamer,222000,245000
nm3929195,Starlight,225000,245000
nm1102278,Homelander,228000,245000
nm2003700,The Deep,245000,256000
nm2281371,Ashley Barrett,245000,256000
nm1069800,Queen Maeve,256000,281000
nm2003700,The Deep,256000,281000
nm2281371,Ashley Barrett,256000,281000
nm4425051,Hughie,281000,287000
nm0881631,Butcher,287000,301000
nm4425051,Hughie,287000,301000
nm0010075,Soldier Boy,301000,328000
nm0881631,Butcher,301000,328000
nm4425051,Hughie,311000,328000
nm1069800,Queen Maeve,328000,356000
nm0022306,Mother's Milk,361000,475000
nm6150071,Frenchie,363000,475000
nm1102278,Homelander,475000,484000
nm6970024,NNC News Anchor,475000,484000
nm1102278,Homelander,484000,506000
nm2003700,The Deep,484000,506000
nm2281371,Ashley Barrett,484000,506000
nm1756121,Black Noir,506000,516000
nm1102278,Homelander,516000,527000
nm2281371,Ashley Barrett,516000,527000
nm2003700,The Deep,520000,527000
nm1756121,Black Noir,527000,543000
nm2003700,The Deep,527000,543000
nm1102278,Homelander,529000,543000
nm2281371,Ashley Barrett,530000,543000
nm1756121,Black Noir,543000,562000
nm1102278,Homelander,548000,562000
nm0217221,Two Birds,562000,584000
nm1102278,Homelander,562000,584000
nm1756121,Black Noir,566000,584000
nm0881631,Butcher,584000,610000
nm4425051,Hughie,588000,610000
nm0010075,Soldier Boy,610000,616000
nm0881631,Butcher,616000,647000
nm0010075,Soldier Boy,617000,647000
nm1828818,Nathan,647000,652000
nm1900772,A-Train,652000,782000
nm1828818,Nathan,655000,782000
nm4425051,Hughie,782000,793000
nm3929195,Starlight,793000,945000
nm4425051,Hughie,795000,945000
nm1069800,Queen Maeve,945000,949000
nm0022306,Mother's Milk,949000,994000
nm1069800,Queen Maeve,951000,994000
nm3929195,Starlight,951000,994000
nm4425051,Hughie,959000,994000
nm6150071,Frenchie,994000,1000000
nm6150071,Frenchie,1000000,1059000
nm7232332,Kimiko,1000000,1059000
nm1069800,Queen Maeve,1059000,1075000
nm4425051,Hughie,1060000,1075000
nm0022306,Mother's Milk,1064000,1075000
nm0022306,Mother's Milk,1075000,1125000
nm1069800,Queen Maeve,1075000,1125000
nm3929195,Starlight,1075000,1125000
nm4425051,Hughie,1075000,1125000
nm0022306,Mother's Milk,1125000,1143000
nm1069800,Queen Maeve,1125000,1143000
nm3929195,Starlight,1125000,1143000
nm4425051,Hughie,1125000,1143000
nm6150071,Frenchie,1125000,1143000
nm7232332,Kimiko,1125000,1143000
nm0010075,Soldier Boy,1143000,1334000
nm0881631,Butcher,1143000,1334000
nm1756121,Black Noir,1334000,1523000
nm1102278,Homelander,1336000,1523000
nm1082823,Buster Beaver,1523000,1554000
nm1756121,Black Noir,1529000,1554000
nm0881631,Butcher,1554000,1562000
nm0881631,Butcher,1562000,1566000
nm1069800,Queen Maeve,1562000,1566000
nm0022306,Mother's Milk,1566000,1666000
nm0881631,Butcher,1566000,1666000
nm1069800,Queen Maeve,1566000,1666000
nm3929195,Starlight,1567000,1666000
nm4425051,Hughie,1567000,1666000
nm6150071,Frenchie,1567000,1666000
nm7232332,Kimiko,1567000,1666000
nm0010075,Soldier Boy,1666000,1704000
nm3929195,Starlight,1666000,1704000
nm7232332,Kimiko,1666000,1704000
nm0022306,Mother's Milk,1668000,1704000
nm0881631,Butcher,1672000,1704000
nm4425051,Hughie,1672000,1704000
nm1069800,Queen Maeve,1695000,1704000
nm0010075,Soldier Boy,1704000,1712000
nm0881631,Butcher,1704000,1712000
nm3929195,Starlight,1713000,1726000
nm1900772,A-Train,1714000,1726000
nm2003700,The Deep,1714000,1726000
nm2281371,Ashley Barrett,1714000,1726000
nm1102278,Homelander,1727000,1876000
nm1900772,A-Train,1727000,1876000
nm2003700,The Deep,1727000,1876000
nm2281371,Ashley Barrett,1727000,1876000
nm7636245,Lamar Bishop,1876000,1910000
nm2003700,The Deep,1910000,1923000
nm3929195,Starlight,1923000,2020000
nm6150071,Frenchie,1931000,2020000
nm0022306,Mother's Milk,1932000,2020000
nm4425051,Hughie,1937000,2020000
nm7232332,Kimiko,1940000,2020000
nm0010075,Soldier Boy,2020000,2036000
nm1102278,Homelander,2028000,2036000
nm0881631,Butcher,2036000,2111000
nm0010075,Soldier Boy,2039000,2111000
nm1069800,Queen Maeve,2042000,2111000
nm1102278,Homelander,2045000,2111000
nm1102278,Homelander,2111000,2361000
nm7805172,Ryan,2111000,2361000
nm0881631,Butcher,2113000,2361000
nm0010075,Soldier Boy,2121000,2361000
nm1069800,Queen Maeve,2141000,2361000
nm0022306,Mother's Milk,2361000,2368000
nm3929195,Starlight,2361000,2368000
nm7232332,Kimiko,2368000,2383000
nm6150071,Frenchie,2370000,2383000
nm4425051,Hughie,2383000,2387000
nm2062703,Also Ashley,2387000,2390000
nm2281371,Ashley Barrett,2387000,2390000
nm4425051,Hughie,2390000,2419000
nm2062703,Also Ashley,2393000,2419000
nm2281371,Ashley Barrett,2393000,2419000
nm6150071,Frenchie,2419000,2450000
nm7232332,Kimiko,2422000,2450000
nm1069800,Queen Maeve,2450000,2496000
nm1102278,Homelander,2450000,2496000
nm3929195,Starlight,2496000,2503000
nm0010075,Soldier Boy,2497000,2503000
nm0881631,Butcher,2497000,2503000
nm7232332,Kimiko,2503000,2547000
nm6150071,Frenchie,2514000,2547000
nm3929195,Starlight,2547000,2575000
nm0010075,Soldier Boy,2548000,2575000
nm0881631,Butcher,2548000,2575000
nm0022306,Mother's Milk,2549000,2575000
nm7232332,Kimiko,2575000,2594000
nm0010075,Soldier Boy,2576000,2594000
nm0022306,Mother's Milk,2576000,2594000
nm0881631,Butcher,2576000,2594000
nm4425051,Hughie,2594000,2601000
nm0010075,Soldier Boy,2601000,2668000
nm3929195,Starlight,2601000,2668000
nm4425051,Hughie,2602000,2668000
nm0022306,Mother's Milk,2647000,2668000
nm0881631,Butcher,2647000,2668000
nm3929195,Starlight,2668000,2674000
nm0010075,Soldier Boy,2669000,2674000
nm0010075,Soldier Boy,2674000,2685000
nm0022306,Mother's Milk,2674000,2685000
nm3929195,Starlight,2674000,2685000
nm7232332,Kimiko,2674000,2685000
nm1102278,Homelander,2685000,2693000
nm1069800,Queen Maeve,2688000,2693000
nm0881631,Butcher,2693000,2700000
nm0010075,Soldier Boy,2700000,2706000
nm0022306,Mother's Milk,2700000,2706000
nm0881631,Butcher,2706000,2711000
nm7805172,Ryan,2707000,2711000
nm1069800,Queen Maeve,2711000,2714000
nm1102278,Homelander,2711000,2714000
nm0881631,Butcher,2714000,2720000
nm7805172,Ryan,2714000,2720000
nm1069800,Queen Maeve,2715000,2720000
nm1102278,Homelander,2716000,2720000
nm0010075,Soldier Boy,2720000,2768000
nm0022306,Mother's Milk,2720000,2768000
nm3929195,Starlight,2720000,2768000
nm7232332,Kimiko,2720000,2768000
nm1069800,Queen Maeve,2721000,2768000
nm0881631,Butcher,2727000,2768000
nm7805172,Ryan,2728000,2768000
nm1102278,Homelander,2744000,2768000
nm0881631,Butcher,2768000,2783000
nm7805172,Ryan,2770000,2783000
nm3929195,Starlight,2775000,2783000
nm0022306,Mother's Milk,2777000,2783000
nm7232332,Kimiko,2777000,2783000
