nconst,character,start,end
nm3825890,Tommy Peterson,66000,204000
nm1032698,Kuldeep Singh,101000,204000
nm0039162,Lamplighter,207000,318000
nm4707628,Victoria Neuman,207000,318000
nm4937798,Lisa Concilia,207000,318000
nm0881631,Billy Butcher,220000,318000
nm0732309,Grace Mallory,222000,318000
nm0022306,Mother's Milk,224000,318000
nm4425051,Hughie Campbell,224000,318000
nm0193639,Donna January,318000,439000
nm3929195,Starlight,318000,439000
nm1756121,Black Noir,435000,439000
nm6150071,Frenchie,439000,537000
nm0732309,Grace Mallory,441000,537000
nm7232332,Kimiko Miyashiro,441000,537000
nm0881631,Billy Butcher,468000,537000
nm4425051,Hughie Campbell,472000,537000
nm0022306,Mother's Milk,473000,537000
nm0039162,Lamplighter,486000,537000
nm0630149,Connie Butcher,502000,537000
nm3929195,Starlight,537000,576000
nm4425051,Hughie Campbell,585000,732000
nm0039162,Lamplighter,586000,732000
nm1102278,Homelander,732000,929000
nm2251731,Stormfront,734000,929000
nm4425051,Hughie Campbell,838000,929000
nm0039162,Lamplighter,841000,929000
nm0881631,Billy Butcher,929000,1176000
nm0630149,Connie Butcher,937000,1176000
nm0633604,Sam Butcher,962000,1176000
nm1102278,Homelander,1176000,1343000
nm2251731,Stormfront,1176000,1343000
nm1416900,Becca Butcher,1239000,1343000
nm7805172,Ryan Butcher,1239000,1343000
nm1997152,Elena,1344000,1435000
nm1069800,Queen Maeve,1345000,1435000
nm0732309,Grace Mallory,1435000,1609000
nm0881631,Billy Butcher,1435000,1609000
nm0022306,Mother's Milk,1445000,1609000
nm2626729,Sonia,1463000,1609000
nm0231283,Jonah Vogelbaum,1467000,1609000
nm0881631,Billy Butcher,1613000,1644000
nm6150071,Frenchie,1649000,1751000
nm4707628,Victoria Neuman,1651000,1751000
nm7232332,Kimiko Miyashiro,1654000,1751000
nm2003700,The Deep,1757000,1864000
nm2068715,Cassandra,1757000,1864000
nm1900772,A-Train,1764000,1864000
nm0899681,Alastair Adana,1790000,1864000
nm0039162,Lamplighter,1867000,1910000
nm4425051,Hughie Campbell,1867000,1910000
nm2281371,Ashley Barrett,1910000,1980000
nm1069800,Queen Maeve,1919000,1980000
nm1102278,Homelander,1999000,2170000
nm1416900,Becca Butcher,1999000,2170000
nm2251731,Stormfront,1999000,2170000
nm7805172,Ryan Butcher,1999000,2170000
nm2626729,Sonia,2170000,2398000
nm0881631,Billy Butcher,2173000,2398000
nm0231283,Jonah Vogelbaum,2182000,2398000
nm0039162,Lamplighter,2398000,2565000
nm4425051,Hughie Campbell,2399000,2565000
nm3929195,Starlight,2491000,2565000
nm3929195,Starlight,2565000,2686000
nm1756121,Black Noir,2575000,2686000
nm1069800,Queen Maeve,2636000,2686000
nm4425051,Hughie Campbell,2686000,2754000
nm0193639,Donna January,2687000,2754000
nm3929195,Starlight,2713000,2754000
nm1416900,Becca Butcher,2754000,2818000
nm7805172,Ryan Butcher,2767000,2818000
nm1102278,Homelander,2772000,2818000
nm2251731,Stormfront,2772000,2818000
nm0022306,Mother's Milk,2818000,2845000
nm0193639,Donna January,2819000,2845000
nm3929195,Starlight,2821000,2845000
nm4425051,Hughie Campbell,2821000,2845000
nm0732309,Grace Mallory,2825000,2845000
nm0881631,Billy Butcher,2839000,2845000
nm0630149,Connie Butcher,2845000,2945000
nm0881631,Billy Butcher,2845000,2945000
nm1900772,A-Train,2946000,2983000
nm2003700,The Deep,2946000,2983000
nm5316223,Eagle the Archer,2947000,2983000
nm0372961,Carol,2966000,2983000
nm4707628,Victoria Neuman,2983000,3148000
nm1102278,Homelander,2985000,3148000
nm2281371,Ashley Barrett,2985000,3148000
nm0732309,Grace Mallory,2987000,3148000
nm2251731,Stormfront,2998000,3148000
nm1069800,Queen Maeve,2999000,3148000
nm0022306,Mother's Milk,3000000,3148000
nm3929195,Starlight,3000000,3148000
nm4425051,Hughie Campbell,3000000,3148000
nm6150071,Frenchie,3000000,3148000
nm7232332,Kimiko Miyashiro,3003000,3148000
nm0231283,Jonah Vogelbaum,3034000,3148000
nm0881631,Billy Butcher,3050000,3148000
