nconst,character,start,end
nm8488639,Benjy,32000,155000
nm4240263,Jamie,33000,155000
nm1069800,Queen Maeve,82000,155000
nm0651456,Desperate Thief #1,100000,155000
nm1102278,Homelander,130000,155000
nm6970024,Female News Anchor,155000,399000
nm1069800,Queen Maeve,159000,399000
nm4425051,Hughie Campbell,160000,399000
nm0609150,Gary,193000,399000
nm3678876,Robin,215000,399000
nm1900772,A-Train,372000,399000
nm3929195,Starlight,412000,547000
nm4425051,Hughie Campbell,547000,716000
nm0670408,Hugh Campbell,551000,716000
nm0000223,Madelyn Stillwell,577000,716000
nm1900772,A-Train,577000,716000
nm2281371,Ashley Barrett,578000,716000
nm3901596,Doug Friedman,615000,716000
nm3929195,Starlight,720000,788000
nm0193639,Donna January,727000,788000
nm0670408,Hugh Campbell,788000,899000
nm4425051,Hughie Campbell,796000,899000
nm3929195,Starlight,906000,1151000
nm2281371,Ashley Barrett,909000,1151000
nm0193639,Donna January,912000,1151000
nm0000223,Madelyn Stillwell,930000,1151000
nm1900772,A-Train,1031000,1151000
nm2003700,The Deep,1033000,1151000
nm1307435,Translucent,1034000,1151000
nm1756121,Black Noir,1035000,1151000
nm1069800,Queen Maeve,1036000,1151000
nm1102278,Homelander,1037000,1151000
nm4425051,Hughie Campbell,1152000,1206000
nm4981734,Clerk,1186000,1206000
nm2003700,The Deep,1207000,1465000
nm3929195,Starlight,1207000,1465000
nm0266422,Jimmy Fallon,1465000,1493000
nm1307435,Translucent,1465000,1493000
nm4425051,Hughie Campbell,1485000,1493000
nm4425051,Hughie Campbell,1496000,1738000
nm0881631,Billy Butcher,1505000,1738000
nm0881631,Billy Butcher,1738000,1878000
nm4425051,Hughie Campbell,1738000,1878000
nm4666051,Security Guard,1749000,1878000
nm2130844,Tiny Hero,1789000,1878000
nm6288116,Tiny Hero's Female Friend,1792000,1878000
nm0072648,Ezekiel,1796000,1878000
nm1900772,A-Train,1826000,1878000
nm7068138,Big Game,1835000,1878000
nm3929195,Starlight,1888000,1939000
nm1069800,Queen Maeve,1898000,1939000
nm1307435,Translucent,1927000,1939000
nm4425051,Hughie Campbell,1939000,2093000
nm0881631,Billy Butcher,1945000,2093000
nm0637992,Mayor of Baltimore,2095000,2216000
nm0000223,Madelyn Stillwell,2101000,2216000
nm3929195,Starlight,2216000,2486000
nm0193639,Donna January,2217000,2486000
nm4425051,Hughie Campbell,2258000,2486000
nm0881631,Billy Butcher,2486000,2562000
nm4425051,Hughie Campbell,2493000,2562000
nm3901596,Doug Friedman,2510000,2562000
nm3929195,Starlight,2563000,2659000
nm2003700,The Deep,2570000,2659000
nm1102278,Homelander,2580000,2659000
nm1307435,Translucent,2604000,2659000
nm1069800,Queen Maeve,2618000,2659000
nm1900772,A-Train,2619000,2659000
nm1756121,Black Noir,2636000,2659000
nm4425051,Hughie Campbell,2661000,3079000
nm0881631,Billy Butcher,2666000,3079000
nm4007618,X-Ray Tech,2787000,3079000
nm2281371,Ashley Barrett,2852000,3079000
nm3901596,Doug Friedman,2852000,3079000
nm1900772,A-Train,2858000,3079000
nm3929195,Starlight,2922000,3079000
nm1307435,Translucent,2961000,3079000
nm0637992,Mayor of Baltimore,3081000,3123000
nm0000223,Madelyn Stillwell,3090000,3123000
nm4425051,Hughie Campbell,3123000,3423000
nm0609150,Gary,3134000,3423000
nm1307435,Translucent,3165000,3423000
nm0881631,Billy Butcher,3226000,3423000
nm5092703,Mason,3426000,3490000
nm0637992,Mayor of Baltimore,3431000,3490000
nm1102278,Homelander,3455000,3490000
