nconst,character,start,end
nm1069800,Queen Maeve,68000,227000
nm4145450,Ruby,93000,227000
nm0126260,Adam Bourke,154000,227000
nm1102278,Homelander,172000,227000
nm2281371,Ashley Barrett,204000,227000
nm5318612,Super Villain,229000,255000
nm1102278,Homelander,234000,255000
nm1102278,Homelander,255000,383000
nm2281371,Ashley Barrett,255000,383000
nm0881631,Billy Butcher,387000,470000
nm0881631,Billy Butcher,470000,613000
nm4425051,Hughie Campbell,505000,613000
nm4425051,Hughie Campbell,619000,658000
nm0022306,Mother's Milk,620000,658000
nm7232332,Kimiko Miyashiro,658000,671000
nm6150071,Frenchie,664000,671000
nm1069800,Queen Maeve,671000,750000
nm4145450,Ruby,671000,750000
nm0342399,Agent Bill Pearson,674000,750000
nm0126260,Adam Bourke,693000,750000
nm3929195,Starlight,702000,750000
nm2251731,Stormfront,704000,750000
nm0640669,Self,751000,761000
nm2003700,The Deep,755000,761000
nm2068715,Cassandra,755000,761000
nm0341289,Lois,761000,882000
nm0881631,Billy Butcher,775000,882000
nm11844260,Judy Atkinson,775000,882000
nm0126260,Adam Bourke,882000,988000
nm1900772,A-Train,882000,988000
nm0183698,Katie Couric,988000,1031000
nm2003700,The Deep,988000,1031000
nm2068715,Cassandra,988000,1031000
nm1464987,Vladislav,1031000,1118000
nm3833201,Victor,1031000,1118000
nm7232332,Kimiko Miyashiro,1052000,1118000
nm6150071,Frenchie,1098000,1118000
nm0881631,Billy Butcher,1118000,1312000
nm11844260,Judy Atkinson,1126000,1312000
nm0022306,Mother's Milk,1128000,1312000
nm4425051,Hughie Campbell,1128000,1312000
nm1756121,Black Noir,1211000,1312000
nm3929195,Starlight,1313000,1481000
nm2251731,Stormfront,1314000,1481000
nm0193639,Donna January,1318000,1481000
nm0057217,Seth Reed,1481000,1630000
nm0998489,Evan Lambert,1481000,1630000
nm2281371,Ashley Barrett,1483000,1630000
nm1069800,Queen Maeve,1486000,1630000
nm1997152,Elena,1488000,1630000
nm1756121,Black Noir,1633000,1796000
nm4425051,Hughie Campbell,1635000,1796000
nm0881631,Billy Butcher,1637000,1796000
nm0022306,Mother's Milk,1786000,1796000
nm7232332,Kimiko Miyashiro,1796000,1932000
nm6150071,Frenchie,1799000,1932000
nm7343952,Cherie,1809000,1932000
nm2003700,The Deep,1932000,1981000
nm0899681,Alastair Adana,1970000,1981000
nm1900772,A-Train,1981000,2157000
nm2251731,Stormfront,1987000,2157000
nm2281371,Ashley Barrett,2039000,2157000
nm1102278,Homelander,2113000,2157000
nm0126260,Adam Bourke,2134000,2157000
nm4707628,Victoria Neuman,2157000,2363000
nm1102278,Homelander,2189000,2363000
nm2281371,Ashley Barrett,2215000,2363000
nm7661798,Soldier,2290000,2363000
nm1756121,Black Noir,2370000,2425000
nm0022306,Mother's Milk,2379000,2425000
nm0881631,Billy Butcher,2381000,2425000
nm11844260,Judy Atkinson,2381000,2425000
nm4425051,Hughie Campbell,2381000,2425000
nm1102278,Homelander,2425000,2526000
nm2251731,Stormfront,2459000,2526000
nm0039162,Nurse,2461000,2526000
nm0022306,Mother's Milk,2539000,2985000
nm0881631,Billy Butcher,2539000,2985000
nm11844260,Judy Atkinson,2541000,2985000
nm4425051,Hughie Campbell,2541000,2985000
nm1756121,Black Noir,2770000,2985000
nm0002064,Stan Edgar,2917000,2985000
nm2003700,The Deep,2987000,3036000
nm1069800,Queen Maeve,2995000,3036000
nm2251731,Stormfront,3036000,3285000
nm9689239,Production Assistant,3036000,3285000
nm3929195,Starlight,3038000,3285000
nm1102278,Homelander,3211000,3285000
nm0881631,Billy Butcher,3289000,3402000
nm11844260,Judy Atkinson,3349000,3402000
nm0022306,Mother's Milk,3361000,3402000
nm4425051,Hughie Campbell,3361000,3402000
nm1102278,Homelander,3402000,3526000
nm2251731,Stormfront,3402000,3526000
