nconst,character,start,end
nm4425051,Hughie Campbell,42000,225000
nm0881631,Billy Butcher,50000,225000
nm0732309,Grace Mallory,125000,225000
nm7232332,Kimiko Miyashiro,230000,387000
nm0510499,Kenji Miyashiro,232000,387000
nm1900772,A-Train,396000,437000
nm1102278,Homelander,437000,518000
nm1416900,Becca Butcher,437000,518000
nm7805172,Ryan,437000,518000
nm0126260,Adam Bourke,518000,711000
nm1069800,Queen Maeve,519000,711000
nm1756121,Black Noir,519000,711000
nm2251731,Stormfront,519000,711000
nm2281371,Ashley Barrett,519000,711000
nm3929195,Starlight,519000,711000
nm0002064,Stan Edgar,711000,757000
nm2281371,Ashley Barrett,711000,757000
nm1942245,Self,749000,757000
nm1942245,Self,757000,823000
nm3929195,Starlight,757000,823000
nm1900772,A-Train,766000,823000
nm2003700,The Deep,823000,910000
nm5316223,Eagle the Archer,863000,910000
nm1756121,Black Noir,900000,910000
nm1942245,Self,910000,1041000
nm4425051,Hughie Campbell,917000,1041000
nm0022306,Mother's Milk,933000,1041000
nm0881631,Billy Butcher,958000,1041000
nm6150071,Frenchie,960000,1041000
nm1102278,Homelander,1041000,1239000
nm7805172,Ryan,1041000,1239000
nm1416900,Becca Butcher,1145000,1239000
nm0510499,Kenji Miyashiro,1242000,1449000
nm6150071,Frenchie,1244000,1449000
nm0625664,Maeve's Dad,1449000,1592000
nm1069800,Queen Maeve,1451000,1592000
nm1997152,Elena,1468000,1592000
nm1102278,Homelander,1484000,1592000
nm0022306,Mother's Milk,1594000,1706000
nm0881631,Billy Butcher,1594000,1706000
nm4425051,Hughie Campbell,1594000,1706000
nm6150071,Frenchie,1595000,1706000
nm0510499,Kenji Miyashiro,1638000,1706000
nm7232332,Kimiko Miyashiro,1641000,1706000
nm5316223,Eagle the Archer,1706000,1774000
nm2003700,The Deep,1707000,1774000
nm0372961,Carol,1732000,1774000
nm4707628,Victoria Neuman,1774000,1831000
nm1051091,Daniel Prestia,1781000,1831000
nm5400943,Leanne Franklin,1786000,1831000
nm0019972,Vought Executive,1787000,1831000
nm4496720,Vought Executive,1789000,1831000
nm0002064,Stan Edgar,1792000,1831000
nm0321047,Randall Skilton,1793000,1831000
nm0660357,Veronica Barassi,1798000,1831000
nm0510499,Kenji Miyashiro,1812000,1831000
nm0022306,Mother's Milk,1831000,1974000
nm6150071,Frenchie,1831000,1974000
nm0881631,Billy Butcher,1836000,1974000
nm0732309,Grace Mallory,1839000,1974000
nm4425051,Hughie Campbell,1866000,1974000
nm0002064,Stan Edgar,1975000,2151000
nm1069800,Queen Maeve,1977000,2151000
nm1102278,Homelander,1977000,2151000
nm1756121,Black Noir,1977000,2151000
nm1900772,A-Train,1977000,2151000
nm2251731,Stormfront,1977000,2151000
nm3929195,Starlight,1977000,2151000
nm0510499,Kenji Miyashiro,1984000,2151000
nm2281371,Ashley Barrett,1988000,2151000
nm4425051,Hughie Campbell,2153000,2429000
nm0022306,Mother's Milk,2155000,2429000
nm0881631,Billy Butcher,2155000,2429000
nm0510499,Kenji Miyashiro,2160000,2429000
nm6150071,Frenchie,2160000,2429000
nm7232332,Kimiko Miyashiro,2160000,2429000
nm2003700,The Deep,2250000,2429000
nm0881631,Billy Butcher,2430000,2535000
nm0510499,Kenji Miyashiro,2433000,2535000
nm6150071,Frenchie,2435000,2535000
nm4425051,Hughie Campbell,2439000,2535000
nm0022306,Mother's Milk,2440000,2535000
nm7232332,Kimiko Miyashiro,2444000,2535000
nm2003700,The Deep,2535000,2720000
nm1102278,Homelander,2536000,2720000
nm3929195,Starlight,2537000,2720000
nm1069800,Queen Maeve,2538000,2720000
nm1756121,Black Noir,2540000,2720000
nm1900772,A-Train,2540000,2720000
nm2251731,Stormfront,2540000,2720000
nm0022306,Mother's Milk,2720000,2954000
nm0881631,Billy Butcher,2720000,2954000
nm4425051,Hughie Campbell,2726000,2954000
nm3929195,Starlight,2752000,2954000
nm1102278,Homelander,2779000,2954000
nm0510499,Kenji Miyashiro,2903000,2954000
nm6150071,Frenchie,2923000,2954000
nm7232332,Kimiko Miyashiro,2923000,2954000
nm0510499,Kenji Miyashiro,2954000,3190000
nm7232332,Kimiko Miyashiro,2956000,3190000
nm2251731,Stormfront,2970000,3190000
nm1102278,Homelander,3152000,3190000
nm1069800,Queen Maeve,3201000,3392000
nm3929195,Starlight,3201000,3392000
nm1756121,Black Noir,3205000,3392000
nm1102278,Homelander,3206000,3392000
nm0002064,Stan Edgar,3209000,3392000
nm2251731,Stormfront,3212000,3392000
nm2281371,Ashley Barrett,3212000,3392000
