nconst,character,start,end
nm4425051,Hughie Campbell,19000,184000
nm0881631,Billy Butcher,49000,184000
nm6150071,Frenchie,51000,184000
nm3929195,Starlight,197000,404000
nm2281371,Ashley Barrett,213000,404000
nm0000223,Madelyn Stillwell,222000,404000
nm0057217,Seth Reed,222000,404000
nm2671505,Isadora,222000,404000
nm0998489,Evan Lambert,223000,404000
nm2002239,ESPN Interviewer,404000,636000
nm5973363,Shockwave,404000,636000
nm4425051,Hughie Campbell,415000,636000
nm6150071,Frenchie,416000,636000
nm0670408,Hugh Campbell,504000,636000
nm0022306,Mother’s Milk,653000,893000
nm7928115,Deeaygo,660000,893000
nm9656790,Oslo,660000,893000
nm0881631,Billy Butcher,703000,893000
nm1102278,Homelander,895000,984000
nm0000223,Madelyn Stillwell,896000,984000
nm0028625,Senator Calhoun,897000,984000
nm0022306,Mother’s Milk,985000,1404000
nm0881631,Billy Butcher,988000,1404000
nm4425051,Hughie Campbell,1012000,1404000
nm6150071,Frenchie,1019000,1404000
nm0020329,Popclaw,1159000,1404000
nm2063213,Aleksy Lutz,1160000,1404000
nm1900772,A-Train,1355000,1404000
nm1069800,Queen Maeve,1405000,1637000
nm1102278,Homelander,1449000,1637000
nm6325955,Cop,1459000,1637000
nm1395410,S.W.A.T Captain,1479000,1637000
nm0022306,Mother’s Milk,1638000,1870000
nm0881631,Billy Butcher,1638000,1870000
nm4425051,Hughie Campbell,1638000,1870000
nm6150071,Frenchie,1638000,1870000
nm1900772,A-Train,1643000,1870000
nm0020329,Popclaw,1645000,1870000
nm0881631,Billy Butcher,1885000,2390000
nm0022306,Mother’s Milk,1894000,2390000
nm4425051,Hughie Campbell,1894000,2390000
nm5973363,Shockwave,2023000,2390000
nm1900772,A-Train,2024000,2390000
nm0020329,Popclaw,2036000,2390000
nm6150071,Frenchie,2061000,2390000
nm1828818,Nathan,2068000,2390000
nm1756121,Black Noir,2098000,2390000
nm3929195,Starlight,2099000,2390000
nm1069800,Queen Maeve,2109000,2390000
nm1102278,Homelander,2121000,2390000
nm1219099,Vought News Host,2132000,2390000
nm2281371,Ashley Barrett,2158000,2390000
nm6736759,Girl,2161000,2390000
nm7325131,Heckling Fan,2182000,2390000
nm7836038,Heckling Fan's Friend,2184000,2390000
nm6150071,Frenchie,2412000,2665000
nm0881631,Billy Butcher,2417000,2665000
nm4425051,Hughie Campbell,2418000,2665000
nm3929195,Starlight,2422000,2665000
nm1900772,A-Train,2514000,2665000
nm5973363,Shockwave,2514000,2665000
nm1828818,Nathan,2534000,2665000
nm0022306,Mother’s Milk,2552000,2665000
nm0020329,Popclaw,2567000,2665000
nm1102278,Homelander,2589000,2665000
nm0881631,Billy Butcher,2665000,3073000
nm6150071,Frenchie,2665000,3073000
nm4425051,Hughie Campbell,2672000,3073000
nm0022306,Mother’s Milk,2701000,3073000
nm0020329,Popclaw,2709000,3073000
nm1900772,A-Train,2716000,3073000
nm5973363,Shockwave,2724000,3073000
nm2063213,Aleksy Lutz,2822000,3073000
nm2003700,The Deep,3073000,3177000
nm1102278,Homelander,3075000,3177000
nm0000223,Madelyn Stillwell,3081000,3177000
