nconst,character,start,end
nm0193639,Donna January,16000,106000
nm10472416,Young Starlight,21000,106000
nm1102278,Homelander,106000,129000
nm3929195,Starlight,106000,129000
nm2281371,Ashley Barrett,115000,129000
nm1102278,Homelander,129000,231000
nm2281371,Ashley Barrett,147000,231000
nm0881631,Butcher,236000,260000
nm0022306,Mother's Milk,265000,302000
nm6150071,Frenchie,267000,302000
nm7232332,Kimiko,289000,302000
nm0881631,Butcher,294000,302000
nm0881631,Butcher,302000,458000
nm4425051,Hughie,302000,458000
nm7232332,Kimiko,303000,458000
nm0022306,Mother's Milk,307000,458000
nm6150071,Frenchie,309000,458000
nm9465479,Silver Kincaid,458000,546000
nm0057217,Seth Reed,464000,546000
nm0998489,Evan Lambert,464000,546000
nm2062703,Also Ashley,469000,546000
nm2281371,Ashley Barrett,469000,546000
nm3929195,Starlight,469000,546000
nm6150071,Frenchie,546000,676000
nm7343952,Cherie,556000,676000
nm0732309,Grace Mallory,679000,754000
nm0022306,Mother's Milk,683000,754000
nm7232332,Kimiko,685000,754000
nm4425051,Hughie,692000,754000
nm0881631,Butcher,695000,754000
nm7805172,Ryan,699000,754000
nm2740432,Supersonic,755000,822000
nm3929195,Starlight,757000,822000
nm1900772,A-Train,823000,878000
nm1828818,Nathan,828000,878000
nm7232332,Kimiko,878000,951000
nm7805172,Ryan,878000,951000
nm0732309,Grace Mallory,951000,1124000
nm0022306,Mother's Milk,953000,1124000
nm0881631,Butcher,953000,1124000
nm4425051,Hughie,953000,1124000
nm6125416,Young Grace,1075000,1124000
nm6125416,Young Grace,1126000,1197000
nm0390229,Crimson Countess,1140000,1197000
nm1837990,Mindstorm,1148000,1197000
nm4124639,Swatto,1149000,1197000
nm0095746,Tessa,1150000,1197000
nm1072959,Young Gunpowder,1152000,1197000
nm0010075,Soldier Boy,1156000,1197000
nm4197984,Young Stan Edgar,1197000,1298000
nm6125416,Young Grace,1199000,1298000
nm4124639,Swatto,1224000,1298000
nm11283975,Claudio,1279000,1298000
nm0095746,Tessa,1291000,1298000
nm6125416,Young Grace,1299000,1383000
nm4197984,Young Stan Edgar,1305000,1383000
