nconst,character,start,end
nm6150071,Frenchie,70000,158000
nm7343952,Cherie,74000,158000
nm5216674,Jay,84000,158000
nm6150071,Frenchie,158000,243000
nm3929195,Starlight,159000,243000
nm4425051,Hughie Campbell,161000,243000
nm2724431,Perp,243000,356000
nm1102278,Homelander,251000,356000
nm2251731,Stormfront,260000,356000
nm0881631,Billy Butcher,356000,382000
nm10651052,Interviewer,360000,382000
nm1102278,Homelander,360000,382000
nm2251731,Stormfront,360000,382000
nm7232332,Kimiko Miyashiro,367000,382000
nm0022306,Mother's Milk,382000,525000
nm6150071,Frenchie,385000,525000
nm3929195,Starlight,387000,525000
nm0881631,Billy Butcher,389000,525000
nm4425051,Hughie Campbell,389000,525000
nm7232332,Kimiko Miyashiro,401000,525000
nm1069800,Queen Maeve,525000,589000
nm2003700,The Deep,539000,589000
nm0501999,Christopher Lennertz,589000,709000
nm1900772,A-Train,595000,709000
nm2281371,Ashley Barrett,597000,709000
nm2251731,Stormfront,628000,709000
nm2003700,The Deep,636000,709000
nm0022306,Mother's Milk,716000,781000
nm0881631,Billy Butcher,716000,781000
nm3929195,Starlight,716000,781000
nm4425051,Hughie Campbell,716000,781000
nm6150071,Frenchie,716000,781000
nm7232332,Kimiko Miyashiro,716000,781000
nm6150071,Frenchie,781000,889000
nm0732309,Grace Mallory,786000,889000
nm2251731,Stormfront,889000,964000
nm1102278,Homelander,899000,964000
nm0881631,Billy Butcher,966000,1347000
nm4425051,Hughie Campbell,972000,1347000
nm0022306,Mother's Milk,975000,1347000
nm3929195,Starlight,975000,1347000
nm6150071,Frenchie,975000,1347000
nm7232332,Kimiko Miyashiro,975000,1347000
nm2251731,Stormfront,1114000,1347000
nm1382520,Security Guard,1121000,1347000
nm10832523,Tim,1209000,1347000
nm0039162,Nurse,1282000,1347000
nm0022306,Mother's Milk,1347000,1559000
nm6150071,Frenchie,1347000,1559000
nm7232332,Kimiko Miyashiro,1347000,1559000
nm0039162,Lamplighter,1359000,1559000
nm9321976,Cindy,1391000,1559000
nm4425051,Hughie Campbell,1559000,1681000
nm3929195,Starlight,1566000,1681000
nm0881631,Billy Butcher,1568000,1681000
nm10663114,EMP Dude Patient,1582000,1681000
nm1102278,Homelander,1681000,1812000
nm2281371,Ashley Barrett,1715000,1812000
nm2588460,Deanna,1715000,1812000
nm2251731,Stormfront,1734000,1812000
nm0899681,Alastair Adana,1816000,1948000
nm1900772,A-Train,1820000,1948000
nm2003700,The Deep,1820000,1948000
nm0022306,Mother's Milk,1948000,2031000
nm0039162,Lamplighter,1948000,2031000
nm6150071,Frenchie,1948000,2031000
nm7232332,Kimiko Miyashiro,1948000,2031000
nm0022306,Mother's Milk,2031000,2188000
nm6150071,Frenchie,2034000,2188000
nm0732309,Grace Mallory,2035000,2188000
nm0881631,Billy Butcher,2047000,2188000
nm0039162,Lamplighter,2075000,2188000
nm3929195,Starlight,2188000,2367000
nm0337020,Dennis,2195000,2367000
nm0881631,Billy Butcher,2202000,2367000
nm4425051,Hughie Campbell,2202000,2367000
nm6150071,Frenchie,2367000,2663000
nm0022306,Mother's Milk,2368000,2663000
nm0039162,Lamplighter,2368000,2663000
nm7232332,Kimiko Miyashiro,2368000,2663000
nm7343952,Cherie,2555000,2663000
nm5216674,Jay,2592000,2663000
nm3929195,Starlight,2663000,2742000
nm4425051,Hughie Campbell,2663000,2742000
nm0881631,Billy Butcher,2666000,2742000
nm6150071,Frenchie,2744000,3063000
nm7232332,Kimiko Miyashiro,2746000,3063000
nm0022306,Mother's Milk,2748000,3063000
nm0039162,Lamplighter,2748000,3063000
nm9321976,Cindy,2938000,3063000
nm2251731,Stormfront,2976000,3063000
nm0881631,Billy Butcher,3063000,3168000
nm3929195,Starlight,3063000,3168000
nm4425051,Hughie Campbell,3063000,3168000
nm1997152,Elena,3170000,3287000
nm1069800,Queen Maeve,3209000,3287000
nm1102278,Homelander,3218000,3287000
nm0022306,Mother's Milk,3289000,3506000
nm6150071,Frenchie,3289000,3506000
nm7232332,Kimiko Miyashiro,3289000,3506000
nm0732309,Grace Mallory,3384000,3506000
nm0039162,Lamplighter,3411000,3506000
nm2251731,Stormfront,3506000,3766000
nm1102278,Homelander,3508000,3766000
nm9321976,Cindy,3766000,3790000
