nconst,character,start,end
nm0881631,Billy Butcher,15000,101000
nm1416900,Becca Butcher,36000,101000
nm1102278,Homelander,47000,101000
nm0881631,Billy Butcher,104000,166000
nm1341875,Hostess,105000,166000
nm0022306,Mother's Milk,166000,288000
nm6150071,Frenchie,166000,288000
nm7232332,Kimiko Miyashiro,166000,288000
nm0881631,Billy Butcher,199000,288000
nm4425051,Hughie Campbell,199000,288000
nm1416900,Becca Butcher,288000,416000
nm7805172,Ryan,290000,416000
nm1102278,Homelander,291000,416000
nm2003700,The Deep,416000,524000
nm0372961,Carol,419000,524000
nm5316223,Eagle the Archer,465000,524000
nm3929195,Starlight,525000,627000
nm2281371,Ashley Barrett,554000,627000
nm1069800,Queen Maeve,561000,627000
nm2251731,Stormfront,561000,627000
nm8829871,Minister,627000,783000
nm0732309,Grace Mallory,640000,783000
nm0881631,Billy Butcher,673000,783000
nm2003700,The Deep,783000,901000
nm0652663,Gills,820000,901000
nm0372961,Carol,894000,901000
nm5316223,Eagle the Archer,894000,901000
nm1069800,Queen Maeve,901000,1007000
nm1997152,Elena,916000,1007000
nm10651052,Entertainment Reporter,1007000,1141000
nm2281371,Ashley Barrett,1007000,1141000
nm3929195,Starlight,1008000,1141000
nm2251731,Stormfront,1009000,1141000
nm3086344,Reporter,1023000,1141000
nm1845550,Reporter,1047000,1141000
nm0804670,Reporter,1088000,1141000
nm1900772,A-Train,1112000,1141000
nm3929195,Starlight,1143000,1255000
nm1900772,A-Train,1146000,1255000
nm4425051,Hughie Campbell,1255000,1340000
nm0881631,Billy Butcher,1270000,1340000
nm7232332,Kimiko Miyashiro,1272000,1340000
nm0022306,Mother's Milk,1275000,1340000
nm6150071,Frenchie,1277000,1340000
nm2003700,The Deep,1340000,1517000
nm0652663,Gills,1352000,1517000
nm2251731,Stormfront,1517000,1668000
nm3929195,Starlight,1523000,1668000
nm3664430,Gecko,1560000,1668000
nm1900772,A-Train,1607000,1668000
nm1416900,Becca Butcher,1668000,1820000
nm7805172,Ryan,1671000,1820000
nm1102278,Homelander,1698000,1820000
nm8621079,Guard,1743000,1820000
nm0391738,Dr. Park,1759000,1820000
nm1997152,Elena,1820000,1950000
nm1069800,Queen Maeve,1824000,1950000
nm7805172,Ryan,1950000,2213000
nm1102278,Homelander,1951000,2213000
nm1416900,Becca Butcher,2124000,2213000
nm0022306,Mother's Milk,2213000,2468000
nm0881631,Billy Butcher,2213000,2468000
nm6150071,Frenchie,2213000,2468000
nm7232332,Kimiko Miyashiro,2218000,2468000
nm4425051,Hughie Campbell,2228000,2468000
nm0510499,Kenji Miyashiro,2352000,2468000
nm3929195,Starlight,2468000,2598000
nm2251731,Stormfront,2471000,2598000
nm0022306,Mother's Milk,2598000,2803000
nm6150071,Frenchie,2598000,2803000
nm0881631,Billy Butcher,2600000,2803000
nm4425051,Hughie Campbell,2604000,2803000
nm0510499,Kenji Miyashiro,2803000,2935000
nm7232332,Kimiko Miyashiro,2803000,2935000
nm3929195,Starlight,2935000,3126000
nm1900772,A-Train,2954000,3126000
nm0510499,Kenji Miyashiro,3126000,3445000
nm7232332,Kimiko Miyashiro,3126000,3445000
nm0881631,Billy Butcher,3302000,3445000
nm6150071,Frenchie,3304000,3445000
nm4425051,Hughie Campbell,3307000,3445000
nm0022306,Mother's Milk,3308000,3445000
