nconst,character,start,end
nm1102278,Homelander,21000,92000
nm1069800,Queen Maeve,27000,92000
nm1900772,A-Train,35000,92000
nm2003700,The Deep,41000,92000
nm1756121,Black Noir,44000,92000
nm0865626,Courtenay,60000,92000
nm2366996,Reality Editor,60000,92000
nm10858875,Male News Anchor,92000,264000
nm3929195,Starlight,92000,264000
nm6970024,Female News Anchor,97000,264000
nm1069800,Queen Maeve,103000,264000
nm6932113,Teen Girl On the Street,109000,264000
nm4425051,Hughie Campbell,120000,264000
nm9139453,Anthony,148000,264000
nm1102278,Homelander,265000,349000
nm4455452,Field Producer,265000,349000
nm0022306,Mother’s Milk,355000,529000
nm7232332,The Female,361000,529000
nm0881631,Billy Butcher,364000,529000
nm4425051,Hughie Campbell,364000,529000
nm6150071,Frenchie,364000,529000
nm3929195,Starlight,530000,749000
nm2281371,Ashley Barrett,538000,749000
nm0000223,Madelyn Stillwell,583000,749000
nm2003700,The Deep,750000,783000
nm1900772,A-Train,783000,871000
nm1828818,Nathan,792000,871000
nm0865626,Courtenay,801000,871000
nm1069800,Queen Maeve,872000,952000
nm3929195,Starlight,876000,952000
nm6150071,Frenchie,952000,1094000
nm7232332,The Female,953000,1094000
nm0022306,Mother’s Milk,975000,1094000
nm0881631,Billy Butcher,1096000,1385000
nm4425051,Hughie Campbell,1096000,1385000
nm2599365,Sheila,1159000,1385000
nm0057217,Seth Reed,1164000,1385000
nm0451039,Lydia Parker,1187000,1385000
nm0000223,Madelyn Stillwell,1389000,1501000
nm2003700,The Deep,1394000,1501000
nm0736622,Seth Rogen,1502000,1792000
nm1756121,Black Noir,1502000,1792000
nm10492805,Young Mesmer,1513000,1792000
nm0005286,Mesmer,1527000,1792000
nm0000708,Billy Zane,1534000,1792000
nm0022306,Mother’s Milk,1539000,1792000
nm5973363,Shockwave,1544000,1792000
nm0005346,Tara Reid,1547000,1792000
nm10858865,Guy,1564000,1792000
nm4763657,Photographer,1566000,1792000
nm9162660,Jersey Girl,1566000,1792000
nm6914631,Cleo,1692000,1792000
nm0715250,Tina,1771000,1792000
nm0881631,Billy Butcher,1793000,1991000
nm4425051,Hughie Campbell,1793000,1991000
nm1102278,Homelander,1992000,2136000
nm0000223,Madelyn Stillwell,2005000,2136000
nm0005286,Mesmer,2142000,2275000
nm0022306,Mother’s Milk,2144000,2275000
nm7232332,The Female,2146000,2275000
nm6150071,Frenchie,2157000,2275000
nm0881631,Billy Butcher,2253000,2275000
nm1069800,Queen Maeve,2275000,2381000
nm0865626,Courtenay,2285000,2381000
nm1997152,Elena,2296000,2381000
nm6150071,Frenchie,2382000,2487000
nm7232332,The Female,2385000,2487000
nm0022306,Mother’s Milk,2387000,2487000
nm0881631,Billy Butcher,2388000,2487000
nm4425051,Hughie Campbell,2388000,2487000
nm0005286,Mesmer,2393000,2487000
nm1102278,Homelander,2490000,2554000
nm0231283,Jonah Vogelbaum,2527000,2554000
nm7232332,The Female,2554000,2752000
nm0022306,Mother’s Milk,2558000,2752000
nm0881631,Billy Butcher,2558000,2752000
nm4425051,Hughie Campbell,2558000,2752000
nm6150071,Frenchie,2562000,2752000
nm0005286,Mesmer,2642000,2752000
nm10858866,The Female's Brother (7),2654000,2752000
nm10113394,Young The Female,2655000,2752000
nm8632185,The Female's Brother (17),2677000,2752000
nm2003700,The Deep,2755000,2777000
nm2854706,Female from the Car,2766000,2777000
nm0881631,Billy Butcher,2779000,2916000
nm0261170,Susan Raynor,2784000,2916000
nm3929195,Starlight,2919000,2991000
nm2003700,The Deep,2940000,2991000
nm1069800,Queen Maeve,2971000,2991000
nm7232332,The Female,2991000,3113000
nm6150071,Frenchie,2994000,3113000
nm0022306,Mother’s Milk,3053000,3113000
nm0881631,Billy Butcher,3060000,3113000
nm0005286,Mesmer,3115000,3255000
nm1102278,Homelander,3168000,3255000
nm4425051,Hughie Campbell,3212000,3255000
nm3929195,Starlight,3263000,3494000
nm4425051,Hughie Campbell,3269000,3494000
nm3678876,Robin,3320000,3494000
nm0881631,Billy Butcher,3368000,3494000
